gene_id,Blood,Brain,Adipose Tissue,Muscle,Blood Vessel,Heart,Thyroid,Kidney,Uterus,Vagina,Breast,Skin,Salivary Gland,Adrenal Gland,Lung,Spleen,Pancreas,Esophagus,Stomach,Colon,Small Intestine,Prostate,Testis,Nerve,Liver,Pituitary,Ovary,Bladder,Cervix Uteri,Fallopian Tube,tau
ENSG00000168497,5.164895,9.24857,115.988,16.7288,23.0252,43.2082,104.5515,15.6103,87.9059,37.36055,108.1035,13.652,10.3645,15.9147,163.5855,94.2104,3.828935,62.944900000000004,15.746,102.97149999999999,27.1065,31.572850000000003,4.54532,64.11355,4.092785,13.9881,57.0854,85.8294,42.4573,80.6511,0.7263962344272356
ENSG00000144339,0.0,8.93369,0.088171,0.056878,0.178835,0.141649,0.1994215,0.017102,0.067992,0.222796,0.1331785,0.22414,0.088635,0.08318,0.0685045,0.008726,0.0119435,0.580248,0.333499,0.4883865,0.231038,9.442095,0.6993565,0.08468049999999999,0.010485999999999999,0.032541,0.048972,0.475945,0.079371,0.135998,0.9498746415332906
ENSG00000196950,3.244885,13.57635,9.18582,1.31819,7.44178,2.32474,33.48605,3.33562,13.3906,8.309270000000001,9.369530000000001,7.92837,5.66092,11.873,10.86545,16.0605,3.13443,4.42595,2.48339,4.963915,7.40748,10.756350000000001,11.60515,15.1772,0.9019135,5.46251,12.1765,6.84121,11.5247,10.6224,0.7617452295755271
ENSG00000081320,53.141,1.55293,15.0636,1.1168550000000002,9.61786,1.62422,9.90186,2.14622,3.51038,6.827780000000001,12.404599999999999,11.9056,10.0437,3.58267,21.7813,39.4788,2.0526350000000004,3.1986049999999997,4.97259,3.91542,20.5111,9.09633,5.29692,13.19955,0.9178525,3.51956,2.12207,5.20143,7.43144,4.13217,0.8467797463352214
ENSG00000115524,86.97794999999999,39.9028,136.714,56.06845,150.874,41.5646,159.566,50.7534,219.166,141.0615,141.797,121.752,123.864,95.4377,143.8345,207.408,57.45595,103.894,90.0237,117.918,148.832,133.75099999999998,84.8027,187.1755,43.2034,117.083,212.975,136.949,192.69,180.719,0.4485288351735907
ENSG00000115520,18.72885,14.7667,29.8055,8.706555,38.7437,14.1848,24.27815,16.5909,21.7549,20.6905,26.385399999999997,20.9137,17.8648,37.422,27.58585,21.6421,7.276395,23.0995,16.7824,21.744750000000003,18.4404,20.1727,13.9413,22.04555,13.14215,25.1429,19.2353,24.4982,19.5061,24.3039,0.47430630101107424
ENSG00000115540,7.966065,12.799150000000001,21.2366,18.3945,30.8817,12.0516,20.054949999999998,7.34984,27.6649,25.6616,21.17265,23.7005,18.5825,27.3869,20.23225,17.4365,5.7385,25.2593,12.3719,20.4947,16.684,18.83685,10.9139,23.27315,5.77441,14.8755,21.7286,21.6888,24.314,24.2096,0.4105942276047202
ENSG00000247626,1.75794,2.324045,3.39666,3.86484,2.41213,1.95785,4.36294,1.96788,3.84935,4.442725,3.994375,6.04557,4.99785,7.34082,3.771025,8.47648,3.31392,4.021834999999999,4.43724,3.7515850000000004,6.40455,3.304185,3.73695,3.9029249999999998,3.90901,2.05988,2.77417,4.30731,3.42694,3.83835,0.5538370432879751
ENSG00000152430,0.0,0.0,0.0,1.1302150000000002,0.0,0.004823,0.0112795,0.008502,0.0,0.016356000000000002,0.0,0.0,0.025746,0.005254,0.013319500000000001,0.0,0.0,0.0,0.0,0.0,0.008462,0.021914,45.248549999999994,0.0,0.0,0.0,0.0,0.008276,0.010087,0.0,0.9990365597160115
ENSG00000115896,0.6168644999999999,5.989255,4.74525,5.41762,13.9316,8.35302,4.407170000000001,5.29141,7.7267,1.9814250000000002,3.4938450000000003,0.968879,1.99785,2.42025,2.724765,1.03829,0.2134855,5.833375,1.54952,4.72146,1.92716,3.6548100000000003,1.3157450000000002,3.96136,0.098595,0.700487,7.56405,4.19959,2.59922,3.83354,0.7541065387444669
