classification,trait,is_control,class,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh_48,q_bh_36
LOO-brain-tau,Intelligence,False,regulation_driven,180,403,21,1.5254371233823965,0.9563351760721107,2.433203834403034,0.09278148677982254,0.29690075769543206,0.2569333480056624
LOO-brain-tau,Intelligence,False,gene_driven_strict,180,1207,40,0.8879911861917004,0.621059671233954,1.2696498956170401,0.5951089675507049,0.751716590590364,0.7651401011366206
LOO-brain-tau,Intelligence,False,gene_driven_all,180,1256,41,0.8688693489652722,0.6096188796926711,1.2383703502619916,0.48478118120018565,0.6463749082669142,0.6712354816617955
LOO-brain-tau,Intelligence,False,dual_driven,180,21,2,2.8237729154346543,0.6527008879208779,12.21645875699945,0.17503851661308886,0.46338195906854124,
LOO-brain-tau,Major depression,False,regulation_driven,154,403,23,2.051426275612696,1.301092988907438,3.2344727088323166,0.0037975488775181007,0.022785293265108603,0.017088969948831453
LOO-brain-tau,Major depression,False,gene_driven_strict,154,1207,25,0.5964794921234539,0.38673654603711316,0.9199745619326865,0.016899209452987243,0.08111620537433877,0.06759683781194897
LOO-brain-tau,Major depression,False,gene_driven_all,154,1256,29,0.6793610431947841,0.45124255447999306,1.022801201767349,0.07288205827759062,0.26910298440956537,0.21864617483277185
LOO-brain-tau,Major depression,False,dual_driven,154,21,1,1.5686274509803921,0.209163061359336,11.76398960685519,0.484084075712805,0.6463749082669142,
LOO-brain-tau,Bipolar disorder,False,regulation_driven,115,403,23,2.9467105263157896,1.8439586748291763,4.708946596487405,3.509457665739858e-05,0.00033690793591102636,0.0002526809519332698
LOO-brain-tau,Bipolar disorder,False,gene_driven_strict,115,1207,22,0.733433147316365,0.45873269495762264,1.1726310060199256,0.22593886271250282,0.5056474401227932,0.46351015344589375
LOO-brain-tau,Bipolar disorder,False,gene_driven_all,115,1256,23,0.735198702351987,0.4634355766023325,1.1663263660136642,0.23175507672294687,0.5056474401227932,0.46351015344589375
LOO-brain-tau,Bipolar disorder,False,dual_driven,115,21,1,2.1223684210526317,0.2823978509429339,15.950715275066617,0.38873671451549974,0.6262056307309289,
LOO-brain-tau,Neuroticism,False,regulation_driven,122,403,21,2.4329998444870666,1.5031767048698172,3.937985616791972,0.001028084547038554,0.007049722608264371,0.005287291956198278
LOO-brain-tau,Neuroticism,False,gene_driven_strict,122,1207,28,0.9279771894681753,0.6054405671760122,1.422338889826827,0.8307088006882016,0.9062277825689473,0.8795740242580958
LOO-brain-tau,Neuroticism,False,gene_driven_all,122,1256,29,0.9212521141695367,0.6041800380479215,1.4047227720465079,0.75252471826863,0.8600282494498628,0.8449859827640427
