variant,class,trait,is_control,n_class,K_trait,k_obs,null_overlap_median,OR_obs_haldane,p_fisher_one_sided,p_emp_lengthmatched,q_bh_perm
joint-LOO-brain-tau,gene_driven_strict,ASD,False,1207,116,28,27.0,1.0045983287948785,0.5494918865171503,0.4725274725274725,0.8455544455544455
joint-LOO-brain-tau,gene_driven_strict,Educational attainment,False,1207,822,187,191.0,0.9056570825226831,0.8762903232678164,0.6703296703296703,0.919309262166405
joint-LOO-brain-tau,gene_driven_strict,Intelligence,False,1207,180,40,43.0,0.8956312344258422,0.7684051669307452,0.7232767232767233,0.9224459750775541
joint-LOO-brain-tau,gene_driven_strict,Major depression,False,1207,154,25,35.0,0.6058870105381733,0.9946637570310882,0.99000999000999,1.0
joint-LOO-brain-tau,gene_driven_strict,Bipolar disorder,False,1207,115,22,26.0,0.7458776616739253,0.9237550343859082,0.8681318681318682,0.9470529470529471
joint-LOO-brain-tau,gene_driven_strict,Neuroticism,False,1207,122,28,27.0,0.9392801631038172,0.6684835149736722,0.4975024975024975,0.8455544455544455
joint-LOO-brain-tau,gene_driven_strict,Cognitive performance,False,1207,149,38,34.0,1.079571009802587,0.3916134358984202,0.25574425574425574,0.7672327672327672
joint-LOO-brain-tau,gene_driven_strict,Height,True,1207,2191,525,523.0,0.970943907577571,0.6834227026449797,0.46253746253746253,0.8455544455544455
joint-LOO-brain-tau,gene_driven_strict,LDL cholesterol,True,1207,256,68,63.0,1.141529802149251,0.2092012640507561,0.22677322677322678,0.7672327672327672
joint-LOO-brain-tau,gene_driven_strict,Crohn disease,True,1207,95,28,23.0,1.3246573406810795,0.14175582489059824,0.11688311688311688,0.5634365634365635
joint-LOO-brain-tau,gene_driven_strict,Type 2 diabetes,True,1207,561,143,133.0,1.0789237547370247,0.25158211137313835,0.14085914085914086,0.5634365634365635
joint-LOO-brain-tau,gene_driven_all,Schizophrenia,False,1256,257,58,62.0,0.8611045762089831,0.8627617557715458,0.7832167832167832,0.925123656830974
joint-LOO-brain-tau,gene_driven_all,ASD,False,1256,116,29,28.0,0.9974210066918825,0.5613512119049768,0.4965034965034965,0.8455544455544455
joint-LOO-brain-tau,gene_driven_all,Educational attainment,False,1256,822,197,199.0,0.9219108903533143,0.8345031994386426,0.6063936063936064,0.8820270638452457
joint-LOO-brain-tau,gene_driven_all,Intelligence,False,1256,180,41,44.0,0.8760750107998685,0.805676944574347,0.7532467532467533,0.925123656830974
joint-LOO-brain-tau,gene_driven_all,Major depression,False,1256,154,29,37.0,0.6881362533572432,0.9775706555228841,0.955044955044955,0.9965686487425617
joint-LOO-brain-tau,gene_driven_all,Bipolar disorder,False,1256,115,23,27.0,0.7469209785383275,0.9251246417781929,0.8601398601398601,0.9470529470529471
joint-LOO-brain-tau,gene_driven_all,Neuroticism,False,1256,122,29,29.0,0.9318731825261117,0.6821218595980856,0.5284715284715285,0.8455544455544455
joint-LOO-brain-tau,gene_driven_all,Cognitive performance,False,1256,149,39,35.0,1.0594794986388174,0.42779291359886684,0.24275724275724275,0.7672327672327672
joint-LOO-brain-tau,gene_driven_all,Height,True,1256,2191,544,544.0,0.9608874690519926,0.7392306544152543,0.5244755244755245,0.8455544455544455
joint-LOO-brain-tau,gene_driven_all,LDL cholesterol,True,1256,256,74,65.0,1.2208601465434852,0.09659465854581613,0.0969030969030969,0.5634365634365635
joint-LOO-brain-tau,gene_driven_all,Crohn disease,True,1256,95,30,23.0,1.3870754925422368,0.09636838402740032,0.07592407592407592,0.5634365634365635
joint-LOO-brain-tau,gene_driven_all,Type 2 diabetes,True,1256,561,149,138.0,1.082036801422806,0.23916651244335843,0.12687312687312688,0.5634365634365635
joint-LOO-brain-tau,dual_driven,Schizophrenia,False,21,257,1,2.0,1.340037084581372,0.6725385550296739,0.8591408591408591,0.9470529470529471
joint-LOO-brain-tau,dual_driven,ASD,False,21,116,1,1.0,3.0652518213493822,0.39137851920683053,0.5524475524475524,0.8554026618542746
joint-LOO-brain-tau,dual_driven,Educational attainment,False,21,822,6,6.0,2.1250222231001716,0.1191603604569383,0.5184815184815185,0.8455544455544455
joint-LOO-brain-tau,dual_driven,Intelligence,False,21,180,2,1.0,3.4299360769949003,0.17503851661308886,0.3106893106893107,0.8025658551974342
joint-LOO-brain-tau,dual_driven,Major depression,False,21,154,1,1.0,2.2883133391594503,0.484084075712805,0.7302697302697303,0.9224459750775541
joint-LOO-brain-tau,dual_driven,Bipolar disorder,False,21,115,1,1.0,3.0926616253062096,0.38873671451549974,0.6063936063936064,0.8820270638452457
joint-LOO-brain-tau,dual_driven,Neuroticism,False,21,122,1,1.0,2.9102679915688046,0.40700243285635945,0.6683316683316683,0.919309262166405
joint-LOO-brain-tau,dual_driven,Cognitive performance,False,21,149,1,1.0,2.3678245873367825,0.47270401454926947,0.7282717282717283,0.9224459750775541
joint-LOO-brain-tau,dual_driven,Height,True,21,2191,15,12.0,3.0430825778861617,0.010321991234196701,0.0959040959040959,0.5634365634365635
joint-LOO-brain-tau,dual_driven,LDL cholesterol,True,21,256,3,1.0,3.5080228157151234,0.09042179123419612,0.13386613386613386,0.5634365634365635
joint-LOO-brain-tau,dual_driven,Crohn disease,True,21,95,0,0.0,1.1831243151101911,1.0,1.0,1.0
joint-LOO-brain-tau,dual_driven,Type 2 diabetes,True,21,561,4,3.0,2.027853939782191,0.20601680363784075,0.46853146853146854,0.8455544455544455
full [span x CDS sensitivity],regulation_driven,Schizophrenia,False,293,257,36,32.0,2.8544697451182364,6.382436077509161e-07,0.21678321678321677,0.4210789210789211
full [span x CDS sensitivity],regulation_driven,ASD,False,293,116,16,13.0,2.71058222401506,0.001127750252316382,0.24175824175824176,0.4210789210789211
full [span x CDS sensitivity],regulation_driven,Educational attainment,False,293,822,103,94.0,2.992153343583963,8.683759842761343e-16,0.1038961038961039,0.41558441558441556
full [span x CDS sensitivity],regulation_driven,Intelligence,False,293,180,19,19.0,1.9884112402510616,0.009004042743582581,0.5204795204795205,0.5917718644991372
full [span x CDS sensitivity],regulation_driven,Major depression,False,293,154,25,20.0,3.3386898470697353,2.573991445558128e-06,0.1008991008991009,0.41558441558441556
full [span x CDS sensitivity],regulation_driven,Bipolar disorder,False,293,115,22,15.0,4.06697787100777,6.108719796068543e-07,0.026973026973026972,0.32367632367632365
