classification,trait,is_control,class,in_S5_36_family,in_unified_48_family,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh_S5_36,q_bh_unified_48,p_one_sided,q_bh_48_one_sided_P04c,sig_S5_36,sig_unified_48
LOO-brain,Crohn disease,True,regulation_driven,True,True,95,613,12,1.0291281598941524,0.5584420935529346,1.8965346303837176,0.875098533761641,0.938415242180906,0.9760840878021914,0.510775790118126,0.889514449435566,False,False
LOO-brain,Crohn disease,True,gene_driven_strict,True,True,95,1099,25,1.2652966214418728,0.7974357263110772,2.0076546452694077,0.3185142109243323,0.6370284218486646,0.6509619018019428,0.18893028705026785,0.5667908611508036,False,False
LOO-brain,Crohn disease,True,gene_driven_all,True,True,95,1140,27,1.3435072142064373,0.8559477111523093,2.108787267150661,0.21711097983412297,0.5210663516018952,0.5210663516018952,0.123255826101727,0.42259140377734966,False,False
LOO-brain,Crohn disease,True,dual_driven,False,True,95,24,0,1.037610855860669,0.06263731090580864,17.18841809506974,1.0,,1.0,1.0,1.0,False,False
LOO-brain,Type 2 diabetes,True,regulation_driven,True,True,561,613,105,1.7700347078325736,1.4043504401643598,2.2309409228121626,3.1942962577566274e-06,3.833155509307953e-05,5.110874012410604e-05,2.301180529757971e-06,3.6818888476127534e-05,True,True
LOO-brain,Type 2 diabetes,True,gene_driven_strict,True,True,561,1099,122,0.9773585169607114,0.7900059454204541,1.209142382045305,0.8713075214838243,0.938415242180906,0.9760840878021914,0.6016615315246735,0.9289903132028503,False,False
LOO-brain,Type 2 diabetes,True,gene_driven_all,True,True,561,1140,127,0.9821627596999377,0.7962724254951071,1.2114493176648689,0.9150788323145544,0.938415242180906,0.9760840878021914,0.5848487770556021,0.9289903132028503,False,False
LOO-brain,Type 2 diabetes,True,dual_driven,False,True,561,24,4,1.57737881508079,0.5371997998215737,4.631654604287056,0.33909661072062025,,0.6509619018019428,0.2829140248215291,0.7147301679701787,False,False
LOO-tau,Schizophrenia,False,regulation_driven,True,True,257,148,18,2.6574187318957194,1.5961060311443682,4.424439341017379,0.0008856733683073803,0.0065974257652628,0.008796567687017127,0.0005411089423392707,0.006493307308071249,True,True
LOO-tau,Schizophrenia,False,gene_driven_strict,True,True,257,1339,64,0.8952067459107995,0.6698982087102946,1.1962938659995366,0.47126326903478427,0.7689718689323624,0.7860601326864148,0.7932117841424999,0.9677164926253926,False,False
LOO-tau,Schizophrenia,False,gene_driven_all,True,True,257,1405,67,0.8905396900322555,0.6693004089384741,1.18491028681808,0.47679842450625265,0.7689718689323624,0.7860601326864148,0.8064304105211605,0.9677164926253926,False,False
LOO-tau,Schizophrenia,False,dual_driven,False,True,257,9,1,2.29931640625,0.28648073234425636,18.454490439159237,0.3798890501430835,,0.7117904086567292,0.3798890501430835,0.7293869762747204,False,False
LOO-tau,ASD,False,regulation_driven,True,True,116,148,8,2.4962962962962965,1.1939031642426676,5.21943101043329,0.021534193162927255,0.0776588226791817,0.1035450969055756,0.021534193162927255,0.10336412718205082,False,False
LOO-tau,ASD,False,gene_driven_strict,True,True,116,1339,31,0.9898363014930743,0.6529119040600926,1.5006249658810202,1.0,1.0,1.0,0.5551319565603227,0.9188391005136375,False,False
LOO-tau,ASD,False,gene_driven_all,True,True,116,1405,32,0.9669475947698817,0.6404798017467723,1.4598237891051045,0.917252892877136,0.9712089453993203,1.0,0.5989229237317175,0.958276677970748,False,False
LOO-tau,ASD,False,dual_driven,False,True,116,9,1,5.271739130434782,0.6539382866088259,42.49825102530125,0.19148063943939606,,0.5358027498358618,0.19148063943939606,0.5561219485598528,False,False
LOO-tau,Educational attainment,False,regulation_driven,True,True,822,148,58,3.426352530541012,2.441317082192609,4.8088352591220564,1.9176776629315422e-11,6.903639586553551e-10,9.204852782071403e-10,1.7601318660874937e-11,8.44863295721997e-10,True,True
LOO-tau,Educational attainment,False,gene_driven_strict,True,True,822,1339,213,0.9399242271784686,0.7926898772935544,1.1145059097429009,0.49128758292900926,0.7689718689323624,0.7860601326864148,0.7745642418137426,0.9677164926253926,False,False
LOO-tau,Educational attainment,False,gene_driven_all,True,True,822,1405,228,0.970194725504836,0.8210210583441913,1.1464721834245553,0.7346597438069118,0.8793623895264615,0.904196607762353,0.6532631923184223,0.9648395998844619,False,False
LOO-tau,Educational attainment,False,dual_driven,False,True,822,9,2,1.4442508710801394,0.29948534661774145,6.9648168171583436,0.6492193881070061,,0.8656258508093414,0.4527291399744612,0.827629177538121,False,False
LOO-tau,Intelligence,False,regulation_driven,True,True,180,148,11,2.2125426510603377,1.1747181412160843,4.1672506884871785,0.021571895188661587,0.0776588226791817,0.1035450969055756,0.01764131928244762,0.09408703617305397,False,False
LOO-tau,Intelligence,False,gene_driven_strict,True,True,180,1339,46,0.9294940610174187,0.6609550171361958,1.3071376826974388,0.7323152227801885,0.8793623895264615,0.904196607762353,0.6902804715832075,0.9648395998844619,False,False
LOO-tau,Intelligence,False,gene_driven_all,True,True,180,1405,49,0.9483550631628724,0.6789516673611488,1.3246558909299475,0.8006513782859738,0.9007328005717204,0.9373479550665058,0.6500916335440889,0.9648395998844619,False,False
LOO-tau,Intelligence,False,dual_driven,False,True,180,9,0,1.3953929144190116,0.08089758662105244,24.068967529670065,1.0,,1.0,1.0,1.0,False,False
LOO-tau,Major depression,False,regulation_driven,True,True,154,148,12,2.9105219552609776,1.5760739433248536,5.374835418055097,0.0019421070088960712,0.009987978902894,0.013317305203858773,0.0019421070088960712,0.013317305203858773,True,True
LOO-tau,Major depression,False,gene_driven_strict,True,True,154,1339,30,0.6489193918036423,0.43332933642916976,0.9717698333762356,0.03387936641954486,0.110877926463965,0.14783723528528664,0.9883584837507049,1.0,False,False
LOO-tau,Major depression,False,gene_driven_all,True,True,154,1405,34,0.712776562120107,0.4845738127063553,1.048447964346827,0.10121473486593202,0.2969664791434955,0.3959553055246608,0.9679608757384204,1.0,False,False
LOO-tau,Major depression,False,dual_driven,False,True,154,9,1,3.931372549019607,0.48864113677379234,31.629940576083474,0.2466951364407425,,0.592068327457782,0.2466951364407425,0.6232298183766126,False,False
LOO-tau,Bipolar disorder,False,regulation_driven,True,True,115,148,6,1.8285308179351338,0.7904412800116777,4.229947292339202,0.15650740591003384,0.4024476151972299,0.5358027498358618,0.12675333617261314,0.4345828668775308,False,False
LOO-tau,Bipolar disorder,False,gene_driven_strict,True,True,115,1339,26,0.7889642896873957,0.5073573559683415,1.226876171360326,0.33850892198291216,0.6770178439658243,0.7064534023991209,0.8784753113117512,1.0,False,False
LOO-tau,Bipolar disorder,False,gene_driven_all,True,True,115,1405,27,0.7750610238817786,0.5013226335694895,1.1982694387114754,0.29455712166269454,0.6237680223445295,0.6426700836276972,0.8968301968292738,1.0,False,False
LOO-tau,Bipolar disorder,False,dual_driven,False,True,115,9,1,5.319078947368422,0.6597643124102865,42.88289062646918,0.18998029423423196,,0.5358027498358618,0.18998029423423196,0.5561219485598528,False,False
LOO-tau,Neuroticism,False,regulation_driven,True,True,122,148,11,3.410600381403301,1.7940403316813371,6.483797914803227,0.0009163091340642841,0.0065974257652628,0.008796567687017127,0.0009163091340642841,0.008796567687017127,True,True
LOO-tau,Neuroticism,False,gene_driven_strict,True,True,122,1339,31,0.9230097120005377,0.611024156608048,1.39429336669223,0.7572287243144529,0.8793623895264615,0.9086744691773434,0.6815867541082479,0.9648395998844619,False,False
LOO-tau,Neuroticism,False,gene_driven_all,True,True,122,1405,32,0.9009306465970705,0.5989731537784834,1.3551125369435095,0.6841709477865792,0.8793623895264615,0.8875731214528596,0.7236296999133465,0.9648395998844619,False,False
LOO-tau,Neuroticism,False,dual_driven,False,True,122,9,1,5.0041322314049586,0.620988971118642,40.32493418405935,0.20043095000943598,,0.5358027498358618,0.20043095000943598,0.5561219485598528,False,False
LOO-tau,Cognitive performance,False,regulation_driven,True,True,149,148,12,3.019965650493774,1.63402508284687,5.581427498207484,0.0014627532076389252,0.0087765192458335,0.011702025661111401,0.0014627532076389252,0.011702025661111401,True,True
LOO-tau,Cognitive performance,False,gene_driven_strict,True,True,149,1339,41,1.031551389602237,0.7160095291097583,1.4861509884000283,0.8516432261904108,0.9290653376622664,0.9733065442176124,0.4655414123651931,0.827629177538121,False,False
