classification,trait,is_control,class,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh
LOO-brain,Crohn disease,True,regulation_driven,95,613,12,1.0291281598941524,0.5584420935529346,1.8965346303837176,0.875098533761641,0.9384152421809061
LOO-brain,Crohn disease,True,gene_driven_strict,95,1099,25,1.2652966214418728,0.7974357263110772,2.0076546452694077,0.3185142109243323,0.6370284218486646
LOO-brain,Crohn disease,True,gene_driven_all,95,1140,27,1.3435072142064373,0.8559477111523093,2.108787267150661,0.21711097983412297,0.5210663516018952
LOO-brain,Type 2 diabetes,True,regulation_driven,561,613,105,1.7700347078325736,1.4043504401643598,2.2309409228121626,3.1942962577566274e-06,3.833155509307953e-05
LOO-brain,Type 2 diabetes,True,gene_driven_strict,561,1099,122,0.9773585169607114,0.7900059454204541,1.209142382045305,0.8713075214838243,0.9384152421809061
LOO-brain,Type 2 diabetes,True,gene_driven_all,561,1140,127,0.9821627596999377,0.7962724254951071,1.2114493176648689,0.9150788323145544,0.9384152421809061
LOO-tau,Schizophrenia,False,regulation_driven,257,148,18,2.6574187318957194,1.5961060311443682,4.424439341017379,0.0008856733683073803,0.006597425765262846
LOO-tau,Schizophrenia,False,gene_driven_strict,257,1339,64,0.8952067459107995,0.6698982087102946,1.1962938659995366,0.47126326903478427,0.7689718689323624
LOO-tau,Schizophrenia,False,gene_driven_all,257,1405,67,0.8905396900322555,0.6693004089384741,1.18491028681808,0.47679842450625265,0.7689718689323624
LOO-tau,ASD,False,regulation_driven,116,148,8,2.4962962962962965,1.1939031642426676,5.21943101043329,0.021534193162927255,0.07765882267918171
LOO-tau,ASD,False,gene_driven_strict,116,1339,31,0.9898363014930743,0.6529119040600926,1.5006249658810202,1.0,1.0
LOO-tau,ASD,False,gene_driven_all,116,1405,32,0.9669475947698817,0.6404798017467723,1.4598237891051045,0.917252892877136,0.9712089453993203
LOO-tau,Educational attainment,False,regulation_driven,822,148,58,3.426352530541012,2.441317082192609,4.8088352591220564,1.9176776629315422e-11,6.903639586553552e-10
LOO-tau,Educational attainment,False,gene_driven_strict,822,1339,213,0.9399242271784686,0.7926898772935544,1.1145059097429009,0.49128758292900926,0.7689718689323624
LOO-tau,Educational attainment,False,gene_driven_all,822,1405,228,0.970194725504836,0.8210210583441913,1.1464721834245553,0.7346597438069118,0.8793623895264615
LOO-tau,Intelligence,False,regulation_driven,180,148,11,2.2125426510603377,1.1747181412160843,4.1672506884871785,0.021571895188661587,0.07765882267918171
LOO-tau,Intelligence,False,gene_driven_strict,180,1339,46,0.9294940610174187,0.6609550171361958,1.3071376826974388,0.7323152227801885,0.8793623895264615
LOO-tau,Intelligence,False,gene_driven_all,180,1405,49,0.9483550631628724,0.6789516673611488,1.3246558909299475,0.8006513782859738,0.9007328005717204
LOO-tau,Major depression,False,regulation_driven,154,148,12,2.9105219552609776,1.5760739433248536,5.374835418055097,0.0019421070088960712,0.009987978902894079
LOO-tau,Major depression,False,gene_driven_strict,154,1339,30,0.6489193918036423,0.43332933642916976,0.9717698333762356,0.03387936641954486,0.110877926463965
LOO-tau,Major depression,False,gene_driven_all,154,1405,34,0.712776562120107,0.4845738127063553,1.048447964346827,0.10121473486593202,0.29696647914349555
LOO-tau,Bipolar disorder,False,regulation_driven,115,148,6,1.8285308179351338,0.7904412800116777,4.229947292339202,0.15650740591003384,0.4024476151972299
LOO-tau,Bipolar disorder,False,gene_driven_strict,115,1339,26,0.7889642896873957,0.5073573559683415,1.226876171360326,0.33850892198291216,0.6770178439658243
LOO-tau,Bipolar disorder,False,gene_driven_all,115,1405,27,0.7750610238817786,0.5013226335694895,1.1982694387114754,0.29455712166269454,0.6237680223445295
LOO-tau,Neuroticism,False,regulation_driven,122,148,11,3.410600381403301,1.7940403316813371,6.483797914803227,0.0009163091340642841,0.006597425765262846
LOO-tau,Neuroticism,False,gene_driven_strict,122,1339,31,0.9230097120005377,0.611024156608048,1.39429336669223,0.7572287243144529,0.8793623895264615
LOO-tau,Neuroticism,False,gene_driven_all,122,1405,32,0.9009306465970705,0.5989731537784834,1.3551125369435095,0.6841709477865792,0.8793623895264615
LOO-tau,Cognitive performance,False,regulation_driven,149,148,12,3.019965650493774,1.63402508284687,5.581427498207484,0.0014627532076389252,0.008776519245833551
LOO-tau,Cognitive performance,False,gene_driven_strict,149,1339,41,1.031551389602237,0.7160095291097583,1.4861509884000283,0.8516432261904108,0.9290653376622663
LOO-tau,Cognitive performance,False,gene_driven_all,149,1405,42,0.9970035860971881,0.6939530110169381,1.4323969129177698,1.0,1.0
LOO-tau,Height,True,regulation_driven,2191,148,95,2.334635604205675,1.660355839076638,3.2827441420364187,7.915952770561446e-07,1.4248714987010603e-05
LOO-tau,Height,True,gene_driven_strict,2191,1339,582,0.9680783374233279,0.8531909491952698,1.0984360163129478,0.6291732065170312,0.8388976086893749
LOO-tau,Height,True,gene_driven_all,2191,1405,607,0.9532155831497937,0.8416197523586613,1.0796086301600816,0.46567494850759594,0.7689718689323624
LOO-tau,LDL cholesterol,True,regulation_driven,256,148,15,2.1456649923564095,1.2387644625782417,3.7165081809352003,0.011943209108179378,0.0537444409868072
LOO-tau,LDL cholesterol,True,gene_driven_strict,256,1339,75,1.1322907196307435,0.8585425416591657,1.493324106321202,0.38555313802239494,0.7305217352003273
LOO-tau,LDL cholesterol,True,gene_driven_all,256,1405,81,1.186508416055244,0.9048983919502688,1.5557572362746486,0.22565303746715704,0.5077193343011033
LOO-tau,Crohn disease,True,regulation_driven,95,148,1,0.342451874366768,0.04741352438997179,2.473414237101441,0.5320103015656791,0.7841474896635126
LOO-tau,Crohn disease,True,gene_driven_strict,95,1339,31,1.322403000764526,0.8571919399787299,2.0400911568002096,0.2009260311884482,0.4822224748522757
LOO-tau,Crohn disease,True,gene_driven_all,95,1405,34,1.4261697217538951,0.933224422827604,2.179497262925061,0.10723789524626229,0.29696647914349555
LOO-tau,Type 2 diabetes,True,regulation_driven,561,148,33,2.3358695652173913,1.5697377353242958,3.475922444192028,9.525474731446974e-05,0.001143056967773637
LOO-tau,Type 2 diabetes,True,gene_driven_strict,561,1339,157,1.0622769764286073,0.873202962617639,1.2922910514040773,0.5445468678218837,0.7841474896635126
LOO-tau,Type 2 diabetes,True,gene_driven_all,561,1405,164,1.0558804247001585,0.8701970692623275,1.2811850449118176,0.584149107752476,0.8088218415034283
