gene_id,gene_symbol,classification_loo_brain,dev_tau,n_stages
ENSG00000050130,JKAMP,gene-driven,0.5066326658441124,31
ENSG00000050165,DKK3,gene-driven,0.6482523566933966,31
ENSG00000050344,NFE2L3,neutral,0.3670614926269683,31
ENSG00000050426,LETMD1,gene-driven,0.480259883762029,31
ENSG00000050438,SLC4A8,gene-driven,0.7749976512313113,31
ENSG00000050555,LAMC3,neutral,0.6458960029365344,31
ENSG00000050730,TNIP3,neutral,0.5305044047664238,31
ENSG00000051009,FHIP1B,neutral,0.4725891454742166,31
ENSG00000051180,RAD51,regulation-driven,0.9003072078824883,31
ENSG00000051596,THOC3,neutral,0.5916468381611191,31
ENSG00000052723,SIKE1,gene-driven,0.44278759035432125,31
ENSG00000053108,FSTL4,regulation-driven,0.6042969121927677,31
ENSG00000053328,METTL24,neutral,0.4102816850084754,31
ENSG00000053372,MRTO4,neutral,0.6995575966124875,31
ENSG00000053770,AP5M1,neutral,0.41575749733590683,31
ENSG00000053918,KCNQ1,regulation-driven,0.33278615581479576,31
ENSG00000054116,TRAPPC3,neutral,0.5479066251389162,31
ENSG00000054118,THRAP3,neutral,0.56553774181594,31
ENSG00000054179,ENTPD2,neutral,0.6862826209140428,31
ENSG00000054965,FAM168A,neutral,0.5599890722536643,31
ENSG00000055044,NOP58,neutral,0.5578540691503713,31
ENSG00000055118,KCNH2,regulation-driven,0.3918387115083273,31
ENSG00000055211,GINM1,neutral,0.3850907769855483,31
ENSG00000055813,CCDC85A,regulation-driven,0.45255564273739124,31
ENSG00000056050,HPF1,neutral,0.3354434189261446,31
ENSG00000056291,NPFFR2,gene-driven,0.827003659156863,31
ENSG00000056736,IL17RB,neutral,0.5919039588894328,31
ENSG00000057252,SOAT1,neutral,0.4767141206471941,31
ENSG00000057294,PKP2,gene-driven,0.6469158689598966,31
ENSG00000057468,MSH4,regulation-driven,0.5897279616020397,31
ENSG00000057593,F7,neutral,0.592070408998245,31
ENSG00000057663,ATG5,gene-driven,0.5158676524398875,31
ENSG00000057757,PITHD1,neutral,0.3466706936244007,31
ENSG00000058056,USP13,regulation-driven,0.5259270515566015,31
ENSG00000058063,ATP11B,regulation-driven,0.6711884471878906,31
ENSG00000058085,LAMC2,neutral,0.5420692276899672,31
ENSG00000058091,CDK14,regulation-driven,0.41094863047160524,31
ENSG00000058262,SEC61A1,gene-driven,0.37965822942432337,31
ENSG00000058668,ATP2B4,regulation-driven,0.42944496010121,31
ENSG00000058729,RIOK2,neutral,0.39301545144545724,31
ENSG00000058804,NDC1,neutral,0.541745909706759,31
ENSG00000058866,DGKG,regulation-driven,0.42612860283416953,31
ENSG00000059377,TBXAS1,gene-driven,0.6642883648498463,31
ENSG00000059588,TARBP1,neutral,0.4295130674490587,31
ENSG00000059769,DNAJC25,neutral,0.5128257045749841,31
ENSG00000060339,CCAR1,gene-driven,0.5366530066663613,31
ENSG00000060642,PIGV,gene-driven,0.5617533613785971,31
ENSG00000060688,SNRNP40,neutral,0.6152471005008521,31
ENSG00000060982,BCAT1,gene-driven,0.5836245241918985,31
ENSG00000061337,LZTS1,neutral,0.6322461824824317,31
ENSG00000061492,WNT8A,neutral,0.8727889059097846,31
ENSG00000061676,NCKAP1,regulation-driven,0.44147181791453016,31
ENSG00000062194,GPBP1,gene-driven,0.5688221013413008,31
ENSG00000062524,LTK,neutral,0.5221961055326626,31
ENSG00000063660,GPC1,gene-driven,0.3814265260238747,31
ENSG00000064199,SPA17,neutral,0.5782535363642676,31
ENSG00000064201,TSPAN32,gene-driven,0.6359275381174656,31
ENSG00000064218,DMRT3,regulation-driven,0.3862244073884197,31
ENSG00000064393,HIPK2,regulation-driven,0.5910769176743211,31
ENSG00000064419,TNPO3,neutral,0.40542971425146135,31
ENSG00000064651,SLC12A2,neutral,0.3058831951368972,31
ENSG00000064703,DDX20,regulation-driven,0.34600208492204754,31
ENSG00000064763,FAR2,gene-driven,0.7348923473766921,31
