gene_id,gene_symbol,classification_v7,classification_loo_campra,has_active_har
ENSG00000169855,,gene-driven (relaxed),gene-driven (relaxed),N
ENSG00000170370,,neutral,neutral,N
ENSG00000170417,,neutral,neutral,N
ENSG00000170430,,neutral,neutral,N
ENSG00000170624,,neutral,neutral,N
ENSG00000170743,,dual-driven,neutral,Y
ENSG00000170899,,neutral,neutral,N
ENSG00000171530,TBCA,gene-driven,gene-driven,Y
ENSG00000171540,OTP,neutral,neutral,N
ENSG00000171723,GPHN,gene-driven,gene-driven,N
ENSG00000171956,FOXB1,neutral,neutral,N
ENSG00000172260,NEGR1,neutral,regulation-driven,N
ENSG00000172292,CERS6,regulation-driven,regulation-driven,Y
ENSG00000172331,BPGM,neutral,gene-driven,Y
ENSG00000172426,RSPH9,neutral,neutral,N
ENSG00000172878,METAP1D,neutral,neutral,N
ENSG00000172987,HPSE2,regulation-driven,regulation-driven,N
ENSG00000173221,GLRX,gene-driven,gene-driven,N
ENSG00000173253,DMRT2,gene-driven,gene-driven,Y
ENSG00000173406,DAB1,regulation-driven,regulation-driven,Y
ENSG00000173926,MARCHF3,neutral,neutral,N
ENSG00000174279,EVX2,neutral,neutral,N
ENSG00000174332,GLIS1,regulation-driven,neutral,Y
ENSG00000174453,VWC2L,neutral,regulation-driven,N
ENSG00000174473,GALNTL6,regulation-driven,regulation-driven,Y
ENSG00000174775,HRAS,neutral,neutral,N
ENSG00000175084,DES,neutral,neutral,N
ENSG00000175161,CADM2,regulation-driven,regulation-driven,N
ENSG00000175182,FAM131A,regulation-driven,neutral,Y
ENSG00000175697,GPR156,neutral,neutral,N
ENSG00000176463,SLCO3A1,gene-driven (relaxed),gene-driven (relaxed),N
ENSG00000177468,OLIG3,neutral,neutral,N
ENSG00000177551,NHLH2,gene-driven,gene-driven,N
ENSG00000178965,,gene-driven,neutral,N
ENSG00000179008,C14orf39,neutral,neutral,N
ENSG00000179041,RRS1,neutral,neutral,N
ENSG00000179241,LDLRAD3,neutral,neutral,N
ENSG00000179456,ZBTB18,neutral,neutral,N
ENSG00000179562,GCC1,neutral,neutral,N
ENSG00000181690,PLAG1,neutral,neutral,Y
ENSG00000182263,FIGN,regulation-driven,regulation-driven,N
ENSG00000182752,PAPPA,neutral,regulation-driven,N
ENSG00000182771,GRID1,gene-driven,gene-driven,N
ENSG00000183715,OPCML,regulation-driven,regulation-driven,N
ENSG00000183780,SLC35F3,neutral,regulation-driven,N
ENSG00000183840,GPR39,neutral,neutral,N
ENSG00000183960,KCNH8,neutral,neutral,N
ENSG00000184220,CMSS1,gene-driven,gene-driven,N
ENSG00000184305,CCSER1,neutral,neutral,N
ENSG00000184347,SLIT3,neutral,regulation-driven,N
ENSG00000184349,,regulation-driven,neutral,Y
ENSG00000184384,MAML2,neutral,neutral,N
ENSG00000184500,PROS1,neutral,neutral,N
ENSG00000184601,C14orf180,neutral,neutral,N
ENSG00000184611,KCNH7,regulation-driven,regulation-driven,N
ENSG00000184903,IMMP2L,neutral,neutral,N
ENSG00000184937,WT1,regulation-driven,regulation-driven,N
ENSG00000185104,FAF1,gene-driven,gene-driven,N
ENSG00000185261,KIAA0825,gene-driven,gene-driven,N
ENSG00000185305,ARL15,gene-driven,gene-driven,Y
ENSG00000185352,HS6ST3,neutral,neutral,N
ENSG00000185480,PARPBP,neutral,neutral,N
ENSG00000185483,ROR1,neutral,regulation-driven,N
ENSG00000185518,SV2B,gene-driven,gene-driven,N
ENSG00000185634,SHC4,neutral,neutral,N
ENSG00000185736,ADARB2,neutral,neutral,N
ENSG00000185742,C11orf87,neutral,neutral,N
ENSG00000185942,NKAIN3,neutral,regulation-driven,N
ENSG00000186073,CDIN1,neutral,regulation-driven,N
ENSG00000186648,CARMIL3,regulation-driven,regulation-driven,Y
