cell_type,cell_type_group,cell_type_class,n_genes,n_high_expr,v7_gd_OR,v7_gd_p,v7_gd_n,v7_rd_OR,v7_rd_p,v7_rd_n,loo_brain_gd_OR,loo_brain_gd_p,loo_brain_gd_n,loo_brain_rd_OR,loo_brain_rd_p,loo_brain_rd_n,loo_tau_gd_OR,loo_tau_gd_p,loo_tau_gd_n,loo_tau_rd_OR,loo_tau_rd_p,loo_tau_rd_n,loo_campra_gd_OR,loo_campra_gd_p,loo_campra_gd_n,loo_campra_rd_OR,loo_campra_rd_p,loo_campra_rd_n,loo_double_gd_OR,loo_double_gd_p,loo_double_gd_n,loo_double_rd_OR,loo_double_rd_p,loo_double_rd_n,v7_gd_fdr,v7_rd_fdr,loo_brain_gd_fdr,loo_brain_rd_fdr,loo_tau_gd_fdr,loo_tau_rd_fdr,loo_campra_gd_fdr,loo_campra_rd_fdr,loo_double_gd_fdr,loo_double_rd_fdr
epicardial cells,barrier epithelial cells,specialized epithelial cells,4974,902,1.1776151801328043,0.02851380366339642,243,1.967829402292318,8.831824113723916e-07,86,1.1116611571060226,0.12113226442716847,213,2.0753325557234,4.3005407071323417e-13,179,1.123371992643471,0.08371554114883067,260,3.625866575747244,5.688955590994877e-13,64,1.1570384690141362,0.05598282899483088,203,1.9111854665300134,1.7402550514534867e-12,218,1.0533961843065582,0.28388595486614693,226,3.1609969288920388,1.7239171451443284e-23,154,0.029669768676777352,5.231157359667243e-06,0.12272611001173649,2.4529009959199283e-12,0.0941036009994155,3.734664578200035e-12,0.05825240314326997,1.2181785360174407e-11,0.33120028067717144,6.637081008805665e-23
epididymal basal cells,basal cells,specialized epithelial cells,4974,1084,1.395413882498996,1.0595142627487433e-05,319,0.9196452521459227,0.7349408557763153,60,1.4895028119468532,3.589837038377055e-07,301,0.9612137626903828,0.6633192952131649,130,1.2568008389721537,0.0014839257542334657,331,1.93054959531342,0.0002213651206184577,51,1.541005101309131,7.065615643562991e-08,286,0.8237291174502828,0.9804308770708469,153,1.2433454541382891,0.003103638661590305,298,1.5865871002741816,5.6246197862636624e-05,120,3.399274926318885e-05,0.9756973430133842,1.9063272548622982e-06,0.8973324024091911,0.0056495455992514555,0.0003375270155964603,3.839667015986794e-07,0.9999999933075148,0.020157237025992536,7.158607000699207e-05
epididymal clear cells,reproductive supporting cells,specialized epithelial cells,4974,807,1.470105223391371,4.554827118024604e-06,248,0.8818376963350786,0.7932126970530725,43,1.4901340249727846,4.09801391302601e-06,228,0.9004523307786264,0.823692874014019,92,1.2775553454295387,0.0021621034872097208,251,1.6265074051996882,0.011228788404436457,35,1.5287521781953177,1.6962002847745692e-06,216,0.8148904132507947,0.9737102605219206,112,1.2538843513133306,0.00545809333468616,225,1.545577285548144,0.0005198201951252603,90,1.77101687893561e-05,0.9887513005924166,1.4343048695591037e-05,0.9999900707622584,0.007399198600673266,0.01340491018824197,6.219401044173421e-06,0.9999999933075148,0.025471102228535412,0.0006254086722600788
epididymal efferent duct absorptive cells,ductal cells,specialized epithelial cells,4974,1107,1.424887804452965,2.5548848152978964e-06,329,0.8937860471980029,0.794690290556262,60,1.4628915153081605,9.83291719080411e-07,304,0.9426123222910006,0.7291120264377471,131,1.2584398696232246,0.001303776582506239,338,1.6532972165141042,0.0042825986512329715,47,1.4679922341380949,1.4217677478296648e-06,284,0.8755454593832318,0.926343439155804,163,1.235235602958658,0.0037757688029901506,303,1.643339096543539,1.3109962327051402e-05,125,1.165777129849273e-05,0.9887513005924166,4.588694689041918e-06,0.9596859151402825,0.005577266491832244,0.005496001602415646,5.34029836989679e-06,0.9999999933075148,0.020444559440239034,1.710961185055861e-05
epididymal efferent duct ciliated cells,ciliated cells,ciliated cells,4974,998,1.395875286545924,1.7753234759246233e-05,295,0.9599416416001729,0.6301644918361324,57,1.4172265082497724,1.3711735318451878e-05,271,0.96559116930882,0.6440650742937001,120,1.2750530651260208,0.0010658355937949262,308,1.7171423963876795,0.002879264746303315,44,1.4110254691689008,2.7292150559753845e-05,252,0.9051161103047896,0.85597836847031,150,1.2663945700275088,0.001938274645425863,278,1.4101601489757913,0.0030513054395347123,103,4.882139558792715e-05,0.8985678865070776,3.5193453984026485e-05,0.8855894771538376,0.005227565442820767,0.003757684499412801,5.3884502387206313e-05,0.9999999933075148,0.01571022607345173,0.003429934581666757
epididymal principal cells,reproductive supporting cells,specialized epithelial cells,4974,1084,1.6136688412550482,3.105232891918345e-10,344,0.7818056902683479,0.9535048153111345,53,1.652601103893716,1.4133049937185235e-10,318,0.7510663410663411,0.99620988775423,109,1.4222535469209148,1.7681865692831302e-06,353,1.540162721893491,0.013535030361972181,44,1.6953996344433253,4.498753006638324e-11,301,0.7928748038804965,0.992812661982891,149,1.3931412331717035,1.206418968982004e-05,317,1.4056864097762884,0.0026241154328167536,111,1.8143911200514025e-08,0.9998241684620686,4.626316178463655e-09,0.9999900707622584,0.00010851545970980932,0.015911409738501647,1.6620394754521053e-09,0.9999999933075148,0.000928942606116143,0.002993435382620593
erythrocyte progenitors,erythrocytes,blood and immune cells,4974,901,1.4759232409381664,1.4568640073944975e-06,276,0.8333735824040533,0.8831944124821525,46,1.5419989903155356,2.0172618192355278e-07,258,0.9499830746408339,0.6920755074835969,107,1.2585817156791732,0.0026185230927906564,277,1.7670723755705282,0.002319822799196965,41,1.6007929463281851,3.445541175640288e-08,246,0.8843195589705147,0.8940232349283727,133,1.207778193296486,0.013771294714013662,245,1.9760551948051948,1.3871548006956677e-08,117,8.309520634768615e-06,0.9998241684620686,1.294409667342797e-06,0.9187898978661546,0.008229644005913491,0.00305344197501139,2.5267301954695447e-07,0.9999999933075148,0.03975105125277065,2.1150677159122063e-08
erythrocytes,erythrocytes,blood and immune cells,4974,717,1.3967553210581098,0.00013222995461013994,215,0.8227772159275956,0.877361010008067,36,1.4210029960288184,9.730763585949176e-05,198,0.7802536231884057,0.9762670771002884,73,1.2126470588235294,0.016968741685182507,217,1.5317148989712086,0.030121067695973003,30,1.475754840827043,2.5906442138075784e-05,189,0.737871186440678,0.9962666632823441,92,1.1681238564391274,0.05053332681144513,192,1.4507620782208588,0.004128843021623125,77,0.00023956956482307709,0.9998241684620686,0.00017028836275411057,0.9999900707622584,0.03280007809355606,0.034107679596910606,5.181288427615156e-05,0.9999999933075148,0.10337515368793677,0.0045417273237854374
esophageal apical cells,apical squamous epithelial cells,squamous epithelial cells,4974,1075,1.416269102302622,4.600043841391195e-06,319,0.7153956156328891,0.9868179713273946,49,1.3933948237152118,2.188732397006867e-05,288,0.750615868205228,0.9961734349825712,108,1.2832701373026767,0.0005965086942099441,332,1.3089334419609648,0.09526225035718636,39,1.4363288565734258,6.422810497066367e-06,273,0.6841420054304058,0.9999478049063603,133,1.1939732353218357,0.013673112575566007,289,1.4028895294346495,0.002833432980055035,110,1.77101687893561e-05,0.9998241684620686,5.2666373302977736e-05,0.9999900707622584,0.003533166881089669,0.10117507968970137,1.8015082118106358e-05,0.9999999933075148,0.03975105125277065,0.0032084461685917306
esophageal basal cells,basal cells,specialized epithelial cells,4974,1060,1.4781861047310025,3.2335787938092664e-07,322,0.602094568680093,0.9993299358297719,42,1.5485287659200702,2.988656117943755e-08,301,0.6189543313081962,0.9999900707622584,92,1.2719200798340915,0.0009471965887359763,326,1.4315574183962654,0.036797154197611905,41,1.6216767179138707,2.1741349123506636e-09,288,0.5604936449893866,0.9999999933075148,113,1.238519372405608,0.0038499495049800774,291,1.2414053905390539,0.04368065228551976,100,2.489855671233135e-06,0.9998241684620686,3.279606930918956e-07,0.9999900707622584,0.0050299405057013915,0.0410634909161756,3.0437888772909294e-08,0.9999999933075148,0.020444559440239034,0.04576068334673499
