gene_id,gene_symbol,classification_loo_brain,prenatal_mean,postnatal_mean,ratio
ENSG00000024048,,neutral,3.9657612784810126,9.448383031358883,0.41972909706547423
ENSG00000024862,CCDC28A,neutral,11.279805645569619,10.334477529616724,1.0914732373498086
ENSG00000025039,RRAGD,neutral,16.04022346413502,5.652815236933798,2.8375637256517807
ENSG00000025156,HSF2,neutral,13.21943254008439,5.590212850174216,2.3647458324726247
ENSG00000026751,SLAMF7,neutral,3.2582946919831226,1.8670797351916373,1.7451288397432534
ENSG00000027644,INSRR,regulation-driven,9.734027911392404,13.924083627177701,0.6990785298353894
ENSG00000027697,IFNGR1,gene-driven,3.1527776455696204,2.906918181184669,1.0845773596162087
ENSG00000027869,SH2D2A,neutral,2.8895188945147683,2.478562048780488,1.165804542168505
ENSG00000028137,TNFRSF1B,neutral,10.390060489451477,5.215244390243903,1.992248054355428
ENSG00000028310,BRD9,gene-driven,5.189434746835443,7.607256641114982,0.682169011991534
ENSG00000028839,TBPL1,neutral,1.9074169662447251,2.7876066724738675,0.6842489598979127
ENSG00000029364,SLC39A9,gene-driven,1.0595591265822784,3.3778609128919865,0.31367754739052506
ENSG00000029559,IBSP,neutral,1.9908937721518987,2.095110916376306,0.9502569799957604
ENSG00000029639,TFB1M,neutral,36.40674113502109,27.922230236933796,1.3038622211081303
ENSG00000030304,MUSK,neutral,0.7723339451476794,0.41277658885017415,1.8710701285145173
ENSG00000030419,IKZF2,gene-driven,15.886507181434599,17.85322803135889,0.8898394818869855
ENSG00000031691,CENPQ,neutral,44.42287659493671,45.4403352369338,0.9776089098662701
ENSG00000032219,ARID4A,gene-driven,7.850049459915611,7.254870902439025,1.0820384766979785
ENSG00000032389,EIPR1,gene-driven,13.023521194092828,19.639605895470385,0.6631253836461418
ENSG00000033100,CHPF2,neutral,8.739236434599157,4.345281707317073,2.01120134970376
ENSG00000034677,RNF19A,gene-driven,3.922002822784811,3.819058404181185,1.0269554449575635
ENSG00000034971,MYOC,neutral,2.527900405063291,2.4555414912891984,1.029467599725266
ENSG00000035115,SH3YL1,gene-driven,9.066228379746835,6.23402668641115,1.4543133733304803
ENSG00000035403,VCL,regulation-driven,2.7730723459915607,0.21570588850174216,12.855802710129371
ENSG00000035499,DEPDC1B,neutral,0.39322004219409284,0.8926442613240417,0.4405114772270392
ENSG00000035681,NSMAF,gene-driven,13.51554664135021,10.870068139372822,1.24337276161086
ENSG00000035687,ADSS2,neutral,0.02943721518987342,0.05126277700348432,0.5742415239789405
ENSG00000035720,STAP1,gene-driven,78.99534202953586,50.19640401045296,1.5737251220841593
ENSG00000036549,ZZZ3,neutral,0.051012451476793244,0.016209170731707318,3.147135181752761
ENSG00000036565,SLC18A1,neutral,1.4662156751054851,6.2846000487804865,0.23330294111396974
ENSG00000037749,MFAP3,neutral,4.223680886075949,3.627296916376307,1.1644155368167197
ENSG00000038219,BOD1L1,neutral,7.58340464556962,13.616312651567943,0.5569352613753604
ENSG00000038274,MAT2B,gene-driven,0.5826706286919832,0.7736537212543554,0.7531413766707878
ENSG00000039600,SOX30,regulation-driven,7.385422869198313,6.940300278745645,1.0641359267719057
ENSG00000040487,SLC66A1,regulation-driven,2.6210541687763715,2.736754724738676,0.957723447075312
ENSG00000040731,CDH10,regulation-driven,11.06997151898734,11.003159494773517,1.0060720763200388
ENSG00000041515,MYO16,regulation-driven,7.51401689029536,5.056122146341464,1.4861225011607746
ENSG00000041880,PARP3,gene-driven,12.917035172995783,2.615569254355401,4.938517743885603
ENSG00000043039,BARX2,neutral,4.254270215189874,3.6107629756097563,1.1782191863400968
ENSG00000043093,DCUN1D1,gene-driven,0.7309481434599157,5.688429644599303,0.12849735148854147
ENSG00000043143,JADE2,neutral,13.524919438818564,10.381810243902441,1.3027515549864888
ENSG00000043355,ZIC2,neutral,0.22172802953586496,0.7519857351916377,0.294856696290069
ENSG00000043462,LCP2,gene-driven,3.694504848101266,2.573036306620209,1.4358541457792926
ENSG00000044012,GUCA2B,neutral,10.186070383966243,4.80584794076655,2.119515746131062
ENSG00000044115,CTNNA1,gene-driven,2.830059578059072,1.4725085017421604,1.9219308918833136
ENSG00000044459,,neutral,13.661954181434599,1.5593248536585365,8.761454772801509
ENSG00000044524,EPHA3,regulation-driven,43.352445805907166,53.362615226480834,0.8124123156616546
ENSG00000044574,HSPA5,gene-driven,1.386315594936709,0.1503821219512195,9.218619719878657
ENSG00000046889,,neutral,8.080067915611814,8.381215637630662,0.9640687299982199
ENSG00000047410,TPR,regulation-driven,0.4454990253164557,0.6956405783972125,0.6404155236931487
ENSG00000047579,DTNBP1,gene-driven,0.9680341645569621,3.586013463414634,0.2699471640118136
ENSG00000047621,C12orf4,neutral,1.4271426497890294,1.1536149999999998,1.2371047964780535
ENSG00000047662,FAM184B,neutral,28.50829729535865,46.167441864111495,0.6174978760848286
ENSG00000047936,ROS1,regulation-driven,3.606045928270042,1.9214108536585368,1.876769833689557
ENSG00000048544,MRPS10,neutral,2.444868729957806,1.8855705888501744,1.2966201023790325
ENSG00000048545,GUCA1A,neutral,8.212261594936708,3.6486625052264805,2.250759444912528
ENSG00000048740,CELF2,gene-driven,4.9825928565400845,9.389530616724738,0.5306540933649052
ENSG00000049167,ERCC8,gene-driven,0.459238,0.0920406480836237,4.989512889813189
ENSG00000049192,ADAMTS6,neutral,2.8938380253164557,2.1275339477351918,1.3601841833814272
ENSG00000049239,H6PD,neutral,7.807908257383966,22.44445781533101,0.3478768933349177
ENSG00000049245,VAMP3,gene-driven,1.7119677215189875,5.770910679442509,0.2966546905010094
ENSG00000049246,PER3,gene-driven,1.0975946160337553,3.422758860627178,0.3206754144031738
ENSG00000050130,JKAMP,gene-driven,48.556131088607586,116.30758483275261,0.4174803488390726
ENSG00000050165,DKK3,gene-driven,0.07733542194092827,0.0622405505226481,1.2425247092373877
ENSG00000050344,NFE2L3,neutral,7.915525573839663,6.70307031358885,1.1808805821106865
ENSG00000050426,LETMD1,gene-driven,3.595625151898734,3.643168355400697,0.9869500393986778
ENSG00000050438,SLC4A8,gene-driven,1.3143302447257383,1.3735693937282232,0.9568721105224292
ENSG00000050555,LAMC3,neutral,1.236512670886076,0.9721004668989548,1.2720009021604612
ENSG00000050730,TNIP3,neutral,7.192117156118144,20.900412174216026,0.34411365173892416
ENSG00000051009,FHIP1B,neutral,14.092239232067511,27.061205459930314,0.5207543046422664
ENSG00000051180,RAD51,regulation-driven,0.3373665991561181,0.04016082578397213,8.40038999623256
ENSG00000051596,THOC3,neutral,16.809676746835443,9.91272499651568,1.6957674860085437
ENSG00000052723,SIKE1,gene-driven,4.0092376835443035,4.370853759581881,0.9172664893569511
ENSG00000053108,FSTL4,regulation-driven,10.606343544303797,5.882618581881533,1.8029969811354656
ENSG00000053328,METTL24,neutral,11.262814995780593,13.172391459930315,0.8550319074589797
ENSG00000053372,MRTO4,neutral,1238.6215744810124,153.2376616794425,8.083010148458685
ENSG00000053770,AP5M1,neutral,2.435581050632912,2.0393157770034844,1.194312856350128
ENSG00000053918,KCNQ1,regulation-driven,13.496604603375527,12.825992418118467,1.0522854032183684
ENSG00000054116,TRAPPC3,neutral,31.859484210970464,14.724661275261322,2.1636819764741952
ENSG00000054118,THRAP3,neutral,36.93191331223628,29.743074533101048,1.241697904200683
ENSG00000054179,ENTPD2,neutral,0.16577474683544305,0.49887356445993036,0.33229811849202145
ENSG00000054965,FAM168A,neutral,1.0149777637130801,1.303978306620209,0.7783701297484069
