gene_id,gene_symbol,classification_v7,stability
ENSG00000047410,TPR,neutral,0.789
ENSG00000047579,DTNBP1,gene-driven,1.0
ENSG00000047621,C12orf4,neutral,1.0
ENSG00000047662,FAM184B,neutral,0.899
ENSG00000047936,ROS1,regulation-driven,0.651
ENSG00000048544,MRPS10,neutral,1.0
ENSG00000048545,GUCA1A,neutral,1.0
ENSG00000048740,CELF2,gene-driven,0.996
ENSG00000049167,ERCC8,gene-driven,1.0
ENSG00000049192,ADAMTS6,neutral,0.935
ENSG00000049239,H6PD,neutral,0.978
ENSG00000049245,VAMP3,gene-driven,1.0
ENSG00000049246,PER3,gene-driven,0.926
ENSG00000050130,JKAMP,gene-driven,0.96
ENSG00000050165,DKK3,gene-driven,1.0
ENSG00000050344,NFE2L3,neutral,1.0
ENSG00000050426,LETMD1,gene-driven,1.0
ENSG00000050438,SLC4A8,gene-driven,0.997
ENSG00000050555,LAMC3,neutral,0.995
ENSG00000050730,TNIP3,neutral,0.999
ENSG00000051009,FHIP1B,neutral,1.0
ENSG00000051180,RAD51,regulation-driven,0.813
ENSG00000051596,THOC3,neutral,1.0
ENSG00000052723,SIKE1,gene-driven,1.0
ENSG00000053108,FSTL4,regulation-driven,0.751
ENSG00000053328,METTL24,neutral,1.0
ENSG00000053372,MRTO4,neutral,1.0
ENSG00000053770,AP5M1,neutral,1.0
ENSG00000053918,KCNQ1,regulation-driven,0.546
ENSG00000054116,TRAPPC3,gene-driven,0.702
ENSG00000054118,THRAP3,neutral,1.0
ENSG00000054179,ENTPD2,neutral,1.0
ENSG00000054965,FAM168A,neutral,1.0
ENSG00000055044,NOP58,neutral,1.0
ENSG00000055118,KCNH2,regulation-driven,0.756
ENSG00000055211,GINM1,neutral,1.0
ENSG00000055813,CCDC85A,neutral,0.928
ENSG00000056050,HPF1,neutral,1.0
ENSG00000056291,NPFFR2,gene-driven,0.999
ENSG00000056736,IL17RB,neutral,0.528
ENSG00000057252,SOAT1,neutral,0.987
ENSG00000057294,PKP2,gene-driven,1.0
ENSG00000057468,MSH4,regulation-driven,0.545
ENSG00000057593,F7,neutral,1.0
ENSG00000057663,ATG5,gene-driven,1.0
ENSG00000057757,PITHD1,neutral,1.0
ENSG00000058056,USP13,regulation-driven,0.985
ENSG00000058063,ATP11B,regulation-driven,0.541
ENSG00000058085,LAMC2,neutral,0.986
ENSG00000058091,CDK14,neutral,0.718
ENSG00000058262,SEC61A1,gene-driven,0.813
ENSG00000058668,ATP2B4,regulation-driven,0.913
ENSG00000058729,RIOK2,neutral,0.972
ENSG00000058804,NDC1,neutral,1.0
ENSG00000058866,DGKG,regulation-driven,0.63
ENSG00000059377,TBXAS1,gene-driven,1.0
ENSG00000059588,TARBP1,neutral,0.998
ENSG00000059769,DNAJC25,neutral,1.0
ENSG00000060339,CCAR1,gene-driven,1.0
ENSG00000060642,PIGV,gene-driven,1.0
ENSG00000060688,SNRNP40,neutral,0.995
ENSG00000060982,BCAT1,gene-driven,1.0
ENSG00000061337,LZTS1,neutral,1.0
ENSG00000061492,WNT8A,neutral,0.941
ENSG00000061676,NCKAP1,regulation-driven,0.746
ENSG00000062194,GPBP1,gene-driven,0.856
ENSG00000062524,LTK,neutral,0.975
ENSG00000063660,GPC1,gene-driven,1.0
ENSG00000064199,SPA17,neutral,1.0
ENSG00000064201,TSPAN32,gene-driven,0.87
ENSG00000064218,DMRT3,neutral,0.697
ENSG00000064393,HIPK2,regulation-driven,1.0
ENSG00000064419,TNPO3,neutral,0.979
ENSG00000064651,SLC12A2,neutral,1.0
ENSG00000064703,DDX20,neutral,0.55
ENSG00000064763,FAR2,gene-driven,1.0
ENSG00000064886,CHI3L2,gene-driven,0.997
ENSG00000064995,TAF11,gene-driven,1.0
ENSG00000064999,ANKS1A,neutral,0.903
ENSG00000065060,BLTP3A,neutral,0.864
ENSG00000065135,GNAI3,neutral,1.0
ENSG00000065154,OAT,neutral,0.999
ENSG00000065243,PKN2,neutral,1.0
ENSG00000065308,TRAM2,neutral,1.0
ENSG00000065357,DGKA,gene-driven,1.0
ENSG00000065491,TBC1D22B,neutral,1.0
ENSG00000065518,NDUFB4,neutral,1.0
ENSG00000065548,ZC3H15,neutral,1.0
ENSG00000065600,PACC1,neutral,0.661
ENSG00000065615,CYB5R4,neutral,0.964
ENSG00000065621,GSTO2,neutral,1.0
ENSG00000065675,PRKCQ,regulation-driven,0.946
ENSG00000065802,ASB1,gene-driven,1.0
ENSG00000065833,ME1,neutral,1.0
ENSG00000065970,FOXJ2,neutral,1.0
ENSG00000066027,PPP2R5A,neutral,0.899
ENSG00000066056,TIE1,neutral,0.974
ENSG00000066185,ZMYND12,gene-driven,1.0
ENSG00000066294,CD84,neutral,1.0
ENSG00000066336,SPI1,gene-driven,0.664
ENSG00000066379,POLR1H,neutral,1.0
ENSG00000066405,CLDN18,neutral,1.0
ENSG00000066422,ZBTB11,neutral,0.998
ENSG00000066855,MTFR1,gene-driven (relaxed),0.969
ENSG00000067082,KLF6,gene-driven,0.93
ENSG00000067113,PLPP1,gene-driven,1.0
ENSG00000067221,STOML1,gene-driven,1.0
ENSG00000067334,DNTTIP2,neutral,1.0
ENSG00000067533,RRP15,neutral,1.0
ENSG00000067704,IARS2,neutral,1.0
ENSG00000068028,RASSF1,neutral,1.0
ENSG00000068650,,regulation-driven,0.915
ENSG00000068654,POLR1A,neutral,0.638
ENSG00000068697,LAPTM4A,neutral,1.0
ENSG00000068745,IP6K2,gene-driven,1.0
ENSG00000068784,SRBD1,neutral,1.0
ENSG00000068831,RASGRP2,neutral,0.83
ENSG00000068912,,gene-driven (relaxed),0.999
ENSG00000068976,PYGM,regulation-driven,0.981
ENSG00000069206,ADAM7,regulation-driven,0.996
ENSG00000069275,NUCKS1,neutral,1.0
ENSG00000069482,GAL,neutral,1.0
ENSG00000069667,RORA,gene-driven,0.999
ENSG00000069869,,neutral,0.98
ENSG00000069956,MAPK6,neutral,0.981
ENSG00000069966,GNB5,neutral,0.864
ENSG00000070019,GUCY2C,regulation-driven,0.714
ENSG00000070047,,neutral,1.0
ENSG00000070087,PFN2,gene-driven,0.988
ENSG00000070159,PTPN3,regulation-driven,0.76
ENSG00000070190,DAPP1,regulation-driven,0.548
ENSG00000070193,FGF10,gene-driven,1.0
ENSG00000070269,TMEM260,neutral,0.998
ENSG00000070367,EXOC5,neutral,1.0
ENSG00000070610,GBA2,neutral,1.0
ENSG00000070748,CHAT,neutral,0.751
ENSG00000070756,,neutral,1.0
ENSG00000070759,TESK2,neutral,1.0
ENSG00000070886,EPHA8,gene-driven,1.0
ENSG00000070985,TRPM5,neutral,1.0
ENSG00000071073,MGAT4A,neutral,0.978
ENSG00000071189,,regulation-driven,0.597
ENSG00000071243,ING3,gene-driven,0.926
ENSG00000071246,VASH1,gene-driven,0.869
ENSG00000071462,BUD23,gene-driven,0.997
