gene_id,gene_symbol,classification_v7,stability
ENSG00000099194,SCD,neutral,1.0
ENSG00000099219,,regulation-driven,0.553
ENSG00000099256,PRTFDC1,neutral,1.0
ENSG00000099260,PALMD,gene-driven,0.999
ENSG00000099282,TSPAN15,gene-driven,1.0
ENSG00000099284,MACROH2A2,neutral,0.646
ENSG00000099814,CEP170B,neutral,1.0
ENSG00000100439,ABHD4,neutral,1.0
ENSG00000100442,FKBP3,gene-driven,0.98
ENSG00000100445,SDR39U1,gene-driven,1.0
ENSG00000100448,CTSG,neutral,1.0
ENSG00000100453,GZMB,gene-driven,1.0
ENSG00000100461,RBM23,gene-driven,1.0
ENSG00000100462,PRMT5,gene-driven,0.923
ENSG00000100483,VCPKMT,neutral,1.0
ENSG00000100504,PYGL,regulation-driven,0.938
ENSG00000100505,TRIM9,regulation-driven,0.974
ENSG00000100523,DDHD1,neutral,0.971
ENSG00000100526,CDKN3,neutral,0.982
ENSG00000100528,CNIH1,neutral,1.0
ENSG00000100554,ATP6V1D,neutral,0.999
ENSG00000100565,LRRC74A,gene-driven,1.0
ENSG00000100567,PSMA3,neutral,1.0
ENSG00000100577,GSTZ1,gene-driven,0.789
ENSG00000100583,SAMD15,gene-driven,1.0
ENSG00000100592,DAAM1,regulation-driven,0.663
ENSG00000100603,SNW1,neutral,0.997
ENSG00000100604,CHGA,neutral,0.789
ENSG00000100626,GALNT16,neutral,0.969
ENSG00000100628,ASB2,neutral,0.981
ENSG00000100644,HIF1A,neutral,0.514
ENSG00000100647,SUSD6,neutral,1.0
ENSG00000100652,SLC10A1,neutral,1.0
ENSG00000100665,SERPINA4,neutral,1.0
ENSG00000100678,SLC8A3,regulation-driven,0.994
ENSG00000100721,TCL1A,neutral,1.0
ENSG00000100744,GSKIP,gene-driven,1.0
ENSG00000100796,PPP4R3A,gene-driven,1.0
ENSG00000100802,C14orf93,neutral,1.0
ENSG00000100811,YY1,gene-driven,1.0
ENSG00000100815,TRIP11,neutral,1.0
ENSG00000100842,EFS,neutral,1.0
ENSG00000100884,CPNE6,neutral,1.0
ENSG00000100889,PCK2,regulation-driven,0.572
ENSG00000100890,PRORP,gene-driven,1.0
ENSG00000100908,EMC9,gene-driven,1.0
ENSG00000100911,PSME2,gene-driven,0.982
ENSG00000100938,GMPR2,neutral,0.969
ENSG00000100941,PNN,neutral,1.0
ENSG00000102466,FGF14,neutral,0.956
ENSG00000102468,HTR2A,neutral,1.0
ENSG00000102471,NDFIP2,neutral,0.872
ENSG00000102524,TNFSF13B,neutral,0.998
ENSG00000102539,MLNR,neutral,1.0
ENSG00000102547,CAB39L,neutral,0.75
ENSG00000102580,DNAJC3,neutral,0.994
ENSG00000102595,UGGT2,neutral,0.762
ENSG00000102678,FGF9,neutral,1.0
ENSG00000102683,SGCG,neutral,1.0
ENSG00000102738,MRPS31,neutral,1.0
ENSG00000102760,RGCC,neutral,1.0
ENSG00000102794,ACOD1,neutral,1.0
ENSG00000102805,CLN5,neutral,1.0
ENSG00000102837,OLFM4,neutral,1.0
ENSG00000103024,NME3,gene-driven,1.0
ENSG00000103275,UBE2I,gene-driven,1.0
ENSG00000103313,MEFV,neutral,0.986
ENSG00000103343,ZNF174,neutral,1.0
ENSG00000103351,CLUAP1,gene-driven,1.0
ENSG00000103591,AAGAB,neutral,1.0
ENSG00000103647,CORO2B,neutral,0.643
ENSG00000103707,MTFMT,neutral,1.0
ENSG00000103710,RASL12,neutral,1.0
ENSG00000103742,IGDCC4,neutral,0.975
ENSG00000103769,RAB11A,gene-driven,0.548
ENSG00000104043,,gene-driven,1.0
ENSG00000104055,TGM5,neutral,0.696
ENSG00000104059,ENTREP2,neutral,1.0
ENSG00000104129,DNAJC17,neutral,1.0
ENSG00000104142,VPS18,neutral,1.0
ENSG00000104154,SLC30A4,neutral,1.0
ENSG00000104221,BRF2,neutral,1.0
ENSG00000104237,RP1,neutral,0.898
ENSG00000104267,CA2,neutral,1.0
ENSG00000104312,RIPK2,neutral,1.0
ENSG00000104313,EYA1,neutral,1.0
ENSG00000104321,TRPA1,neutral,0.698
ENSG00000104324,CPQ,gene-driven,1.0
ENSG00000104327,CALB1,neutral,1.0
ENSG00000104332,SFRP1,neutral,0.999
ENSG00000104361,NIPAL2,neutral,1.0
ENSG00000104369,JPH1,neutral,0.614
ENSG00000104371,DKK4,neutral,1.0
ENSG00000104381,GDAP1,gene-driven,0.509
ENSG00000104415,CCN4,neutral,0.999
ENSG00000104427,ZC2HC1A,neutral,1.0
ENSG00000104432,IL7,gene-driven,1.0
ENSG00000104435,STMN2,neutral,0.962
ENSG00000104442,ARMC1,gene-driven,0.915
ENSG00000104450,SPAG1,neutral,1.0
ENSG00000104490,NCALD,neutral,0.931
ENSG00000104497,SNX16,gene-driven,0.97
ENSG00000104518,GSDMD,neutral,1.0
ENSG00000104537,ANXA13,neutral,0.999
ENSG00000104611,SH2D4A,neutral,1.0
ENSG00000104626,ERI1,gene-driven,0.924
ENSG00000104643,MTMR9,gene-driven,0.985
ENSG00000104660,LEPROTL1,gene-driven,1.0
ENSG00000104671,DCTN6,gene-driven,1.0
ENSG00000104689,TNFRSF10A,neutral,1.0
ENSG00000104714,ERICH1,gene-driven,1.0
ENSG00000104723,TUSC3,regulation-driven,0.907
ENSG00000104738,MCM4,neutral,1.0
ENSG00000104755,ADAM2,neutral,0.521
ENSG00000104760,FGL1,neutral,0.984
ENSG00000104763,,gene-driven,1.0
ENSG00000104765,BNIP3L,gene-driven,0.747
ENSG00000105784,RUNDC3B,neutral,0.544
ENSG00000105810,CDK6,neutral,1.0
ENSG00000105819,PMPCB,gene-driven,0.936
ENSG00000105835,NAMPT,gene-driven,0.568
ENSG00000105849,POLR1F,neutral,1.0
ENSG00000105855,ITGB8,neutral,0.548
ENSG00000105865,DUS4L,neutral,0.992
ENSG00000105866,SP4,neutral,0.96
ENSG00000105875,WDR91,gene-driven,0.817
ENSG00000105880,DLX5,neutral,1.0
ENSG00000105887,MTPN,neutral,1.0
ENSG00000105894,PTN,neutral,1.0
ENSG00000105926,PALS2,neutral,0.773
ENSG00000105948,IFT56,regulation-driven,0.749
ENSG00000105954,NPVF,neutral,0.974
ENSG00000105967,TFEC,neutral,0.948
ENSG00000105968,H2AZ2,neutral,1.0
ENSG00000105971,CAV2,neutral,1.0
ENSG00000105974,CAV1,neutral,1.0
ENSG00000105976,MET,neutral,0.658
ENSG00000105983,LMBR1,gene-driven,1.0
ENSG00000105991,HOXA1,neutral,1.0
ENSG00000105993,DNAJB6,neutral,1.0
ENSG00000105996,HOXA2,neutral,1.0
ENSG00000106003,LFNG,neutral,0.659
ENSG00000106006,HOXA6,neutral,1.0
ENSG00000106009,BRAT1,neutral,1.0
ENSG00000106013,ANKRD7,gene-driven,1.0
ENSG00000106018,VIPR2,neutral,1.0
ENSG00000106025,TSPAN12,neutral,0.999
ENSG00000106031,HOXA13,neutral,1.0
ENSG00000106038,EVX1,neutral,1.0
ENSG00000106049,HIBADH,neutral,1.0
ENSG00000106066,CPVL,neutral,0.6
ENSG00000106077,ABHD11,gene-driven,1.0
ENSG00000106089,STX1A,gene-driven,0.892
ENSG00000106123,EPHB6,gene-driven,0.747
ENSG00000106125,MINDY4,neutral,1.0
ENSG00000106128,GHRHR,gene-driven,1.0
ENSG00000106144,CASP2,gene-driven,1.0
ENSG00000106153,CHCHD2,neutral,1.0
ENSG00000106236,NPTX2,neutral,1.0
ENSG00000106245,BUD31,neutral,1.0
ENSG00000106268,NUDT1,gene-driven,1.0
ENSG00000106290,,neutral,0.994
ENSG00000106299,WASL,neutral,1.0
ENSG00000106305,AIMP2,neutral,0.999
ENSG00000106331,PAX4,neutral,0.759
ENSG00000106333,PCOLCE,neutral,1.0
ENSG00000106336,FBXO24,neutral,0.815
ENSG00000106341,PPP1R17,neutral,1.0
ENSG00000106366,SERPINE1,neutral,1.0
ENSG00000106367,AP1S1,gene-driven,1.0
ENSG00000106384,MOGAT3,gene-driven,1.0
ENSG00000106397,PLOD3,neutral,1.0
ENSG00000106399,RPA3,gene-driven,1.0
ENSG00000106400,ZNHIT1,neutral,1.0
ENSG00000106404,CLDN15,neutral,1.0
ENSG00000106436,MYL10,gene-driven,0.773
ENSG00000106460,TMEM106B,gene-driven,0.965
ENSG00000106462,EZH2,regulation-driven,0.97
ENSG00000106477,CEP41,gene-driven,1.0
ENSG00000106479,ZNF862,neutral,1.0
ENSG00000106483,SFRP4,neutral,1.0
ENSG00000106511,MEOX2,neutral,1.0
ENSG00000106536,POU6F2,neutral,0.98
ENSG00000106546,AHR,gene-driven,0.799
ENSG00000106565,TMEM176B,neutral,1.0
ENSG00000106571,,gene-driven,1.0
ENSG00000106609,TMEM248,gene-driven,1.0
ENSG00000106617,PRKAG2,regulation-driven,0.709
ENSG00000106628,,gene-driven,1.0
ENSG00000106633,GCK,gene-driven,0.971
ENSG00000106635,BCL7B,gene-driven,1.0
ENSG00000106686,SPATA6L,neutral,1.0
ENSG00000106688,SLC1A1,neutral,0.999
ENSG00000106701,FSD1L,neutral,0.89
ENSG00000106723,SPIN1,neutral,1.0
ENSG00000106733,NMRK1,neutral,1.0
ENSG00000106771,TMEM245,neutral,0.837
ENSG00000106780,MEGF9,neutral,1.0
ENSG00000106785,TRIM14,gene-driven,0.992
ENSG00000106789,CORO2A,neutral,0.876
ENSG00000106803,SEC61B,neutral,1.0
ENSG00000106809,OGN,neutral,0.525
ENSG00000106823,ECM2,neutral,0.998
ENSG00000106927,AMBP,neutral,1.0
ENSG00000106948,,neutral,0.974
ENSG00000106991,ENG,neutral,1.0
ENSG00000106992,AK1,gene-driven,0.991
ENSG00000106993,CDC37L1,neutral,1.0
ENSG00000107020,PLGRKT,neutral,1.0
ENSG00000107021,TBC1D13,neutral,1.0
ENSG00000107140,TESK1,neutral,1.0
ENSG00000107159,CA9,neutral,1.0
ENSG00000107164,FUBP3,neutral,0.81
ENSG00000107185,RGP1,neutral,1.0
ENSG00000107187,LHX3,neutral,0.786
ENSG00000107201,RIGI,gene-driven,1.0
ENSG00000107223,EDF1,neutral,1.0
ENSG00000107242,PIP5K1B,neutral,1.0
ENSG00000107295,SH3GL2,regulation-driven,0.799
ENSG00000107338,SHB,neutral,1.0
ENSG00000107362,ABHD17B,neutral,1.0
ENSG00000107371,EXOSC3,gene-driven,1.0
ENSG00000107404,DVL1,neutral,0.993
ENSG00000107438,PDLIM1,neutral,1.0
ENSG00000107443,CCNJ,neutral,1.0
ENSG00000107447,DNTT,gene-driven,1.0
ENSG00000107554,,neutral,0.945
ENSG00000107562,CXCL12,neutral,1.0
ENSG00000107566,ERLIN1,neutral,1.0
ENSG00000107581,EIF3A,neutral,0.973
ENSG00000107593,PKD2L1,gene-driven,0.672
ENSG00000107679,PLEKHA1,neutral,1.0
ENSG00000107742,SPOCK2,neutral,0.998
ENSG00000107771,CCSER2,neutral,0.966
ENSG00000107779,BMPR1A,neutral,0.797
ENSG00000107796,ACTA2,neutral,0.902
ENSG00000107798,LIPA,neutral,1.0
ENSG00000107819,SFXN3,gene-driven,1.0
ENSG00000107821,KAZALD1,neutral,1.0
ENSG00000107829,FBXW4,neutral,1.0
ENSG00000107831,FGF8,gene-driven,0.762
ENSG00000107833,NPM3,neutral,1.0
ENSG00000107854,TNKS2,neutral,0.617
ENSG00000107859,PITX3,neutral,1.0
ENSG00000107864,CPEB3,regulation-driven,0.924
ENSG00000107874,CUEDC2,neutral,1.0
ENSG00000107882,SUFU,gene-driven (relaxed),0.999
ENSG00000107902,LHPP,neutral,0.989
ENSG00000107937,GTPBP4,neutral,0.998
ENSG00000107951,MTPAP,neutral,0.545
ENSG00000107968,MAP3K8,neutral,0.983
ENSG00000107984,DKK1,neutral,1.0
ENSG00000108001,EBF3,regulation-driven,0.631
ENSG00000108010,GLRX3,neutral,1.0
ENSG00000108018,SORCS1,neutral,0.973
ENSG00000108055,SMC3,regulation-driven,0.879
ENSG00000108061,SHOC2,regulation-driven,0.523
ENSG00000108091,CCDC6,neutral,0.996
ENSG00000108176,DNAJC12,gene-driven,0.968
ENSG00000108219,TSPAN14,neutral,0.825
ENSG00000108231,LGI1,regulation-driven,0.974
ENSG00000108239,TBC1D12,neutral,1.0
ENSG00000108256,NUFIP2,gene-driven,1.0
ENSG00000108671,PSMD11,gene-driven,1.0
ENSG00000108684,ASIC2,neutral,0.994
ENSG00000108691,CCL2,gene-driven,1.0
ENSG00000108700,CCL8,neutral,1.0
ENSG00000109046,WSB1,gene-driven,0.999
ENSG00000109072,VTN,gene-driven (relaxed),0.966
ENSG00000109101,FOXN1,gene-driven,0.861
ENSG00000109107,ALDOC,gene-driven,0.883
ENSG00000109132,PHOX2B,neutral,1.0
ENSG00000109133,TMEM33,neutral,1.0
ENSG00000109158,GABRA4,gene-driven,0.59
ENSG00000109163,GNRHR,gene-driven,1.0
ENSG00000109180,OCIAD1,gene-driven,1.0
ENSG00000109182,CWH43,gene-driven,0.93
ENSG00000109189,USP46,dual-driven,0.941
ENSG00000109193,SULT1E1,neutral,1.0
ENSG00000109255,NMU,gene-driven,0.87
ENSG00000109265,CRACD,gene-driven,1.0
ENSG00000109270,LAMTOR3,neutral,1.0
ENSG00000109321,AREG,neutral,1.0
ENSG00000109424,UCP1,neutral,1.0
ENSG00000109445,ZNF330,neutral,1.0
ENSG00000109458,GAB1,regulation-driven,0.773
ENSG00000109471,,neutral,1.0
ENSG00000109511,ANXA10,neutral,0.944
ENSG00000109519,GRPEL1,neutral,1.0
ENSG00000109534,GAR1,neutral,1.0
ENSG00000109576,AADAT,neutral,1.0
ENSG00000109606,DHX15,neutral,0.993
ENSG00000109625,CPZ,neutral,0.937
ENSG00000109674,NEIL3,neutral,0.986
ENSG00000109684,CLNK,neutral,1.0
ENSG00000109705,NKX3-2,neutral,1.0
ENSG00000109738,GLRB,neutral,0.962
ENSG00000109787,KLF3,neutral,1.0
ENSG00000109805,NCAPG,neutral,0.687
ENSG00000109832,DDX25,neutral,0.66
ENSG00000109851,DBX1,neutral,1.0
ENSG00000109861,CTSC,neutral,0.581
ENSG00000109881,CCDC34,neutral,1.0
ENSG00000109906,ZBTB16,gene-driven,1.0
ENSG00000109911,ELP4,neutral,0.943
ENSG00000109920,FNBP4,neutral,0.95
ENSG00000109943,CRTAM,neutral,1.0
ENSG00000109944,JHY,neutral,0.997
ENSG00000109991,P2RX3,neutral,0.988
ENSG00000110002,VWA5A,neutral,0.972
ENSG00000110013,SIAE,neutral,1.0
ENSG00000110031,LPXN,neutral,1.0
ENSG00000110042,DTX4,neutral,0.998
ENSG00000110057,UNC93B1,neutral,1.0
ENSG00000110060,PUS3,gene-driven,1.0
ENSG00000110063,DCPS,neutral,1.0
ENSG00000110074,FOXRED1,neutral,1.0
ENSG00000110079,MS4A4A,gene-driven,1.0
ENSG00000110092,CCND1,neutral,1.0
ENSG00000110107,PRPF19,gene-driven,0.999
ENSG00000110108,TMEM109,neutral,1.0
ENSG00000110172,CHORDC1,gene-driven,0.904
ENSG00000110195,FOLR1,gene-driven,1.0
ENSG00000110200,ANAPC15,neutral,0.996
ENSG00000110218,PANX1,gene-driven,1.0
ENSG00000110237,ARHGEF17,neutral,0.645
ENSG00000110244,APOA4,neutral,1.0
ENSG00000110318,CEP126,neutral,0.983
ENSG00000110324,IL10RA,neutral,1.0
ENSG00000110328,GALNT18,regulation-driven,0.863
ENSG00000110344,UBE4A,neutral,0.71
ENSG00000110367,DDX6,neutral,0.999
ENSG00000110395,CBL,neutral,0.531
ENSG00000110400,NECTIN1,regulation-driven,1.0
ENSG00000110429,FBXO3,gene-driven,1.0
ENSG00000110435,PDHX,gene-driven,1.0
ENSG00000110442,COMMD9,neutral,1.0
ENSG00000110448,CD5,gene-driven,1.0
ENSG00000110583,NAA40,neutral,1.0
ENSG00000110660,SLC35F2,gene-driven,0.996
ENSG00000110675,ELMOD1,neutral,0.906
ENSG00000110693,SOX6,neutral,0.706
ENSG00000110696,C11orf58,gene-driven,1.0
ENSG00000110697,PITPNM1,neutral,0.966
ENSG00000110711,AIP,neutral,1.0
ENSG00000110768,GTF2H1,neutral,0.988
ENSG00000110777,POU2AF1,neutral,1.0
ENSG00000110786,PTPN5,regulation-driven,0.851
ENSG00000110811,P3H3,neutral,1.0
ENSG00000110844,PRPF40B,gene-driven,1.0
ENSG00000110848,CD69,neutral,1.0
ENSG00000110852,CLEC2B,neutral,1.0
ENSG00000110880,CORO1C,gene-driven,1.0
ENSG00000110881,ASIC1,gene-driven,0.999
ENSG00000110900,TSPAN11,neutral,1.0
ENSG00000110906,KCTD10,neutral,0.572
ENSG00000110921,MVK,gene-driven,1.0
ENSG00000110944,IL23A,neutral,1.0
ENSG00000110975,SYT10,gene-driven,0.616
ENSG00000110987,BCL7A,neutral,1.0
ENSG00000111011,RSRC2,gene-driven,1.0
ENSG00000111012,CYP27B1,gene-driven,0.987
ENSG00000111046,MYF6,neutral,1.0
ENSG00000111049,MYF5,neutral,1.0
ENSG00000111057,KRT18,gene-driven,1.0
ENSG00000111087,GLI1,neutral,0.789
ENSG00000111110,PPM1H,gene-driven,0.703
ENSG00000111144,LTA4H,neutral,0.996
ENSG00000111181,SLC6A12,neutral,1.0
ENSG00000111186,WNT5B,gene-driven,1.0
ENSG00000111196,MAGOHB,gene-driven,0.916
ENSG00000111199,TRPV4,regulation-driven,0.93
ENSG00000111206,FOXM1,neutral,1.0
ENSG00000111218,PRMT8,regulation-driven,0.655
ENSG00000111229,ARPC3,gene-driven,0.981
ENSG00000111237,VPS29,gene-driven,1.0
ENSG00000111241,FGF6,neutral,1.0
ENSG00000111245,MYL2,gene-driven,0.55
ENSG00000111252,SH2B3,neutral,1.0
ENSG00000111266,DUSP16,neutral,0.538
ENSG00000111269,CREBL2,neutral,1.0
ENSG00000111271,ACAD10,neutral,1.0
ENSG00000111276,CDKN1B,neutral,1.0
ENSG00000111291,GPRC5D,neutral,1.0
ENSG00000111335,OAS2,neutral,0.999
ENSG00000111339,ART4,gene-driven,1.0
ENSG00000111344,RASAL1,neutral,0.711
ENSG00000111364,DDX55,neutral,1.0
ENSG00000111404,RERGL,neutral,1.0
ENSG00000111405,ENDOU,neutral,0.977
ENSG00000111424,VDR,gene-driven,1.0
ENSG00000111445,RFC5,neutral,1.0
ENSG00000111536,IL26,neutral,1.0
ENSG00000111537,IFNG,neutral,1.0
ENSG00000111602,TIMELESS,gene-driven,1.0
ENSG00000111605,CPSF6,neutral,0.866
ENSG00000111615,KRR1,neutral,1.0
ENSG00000111640,GAPDH,neutral,0.995
ENSG00000111647,,gene-driven,1.0
ENSG00000111665,CDCA3,neutral,1.0
ENSG00000111667,USP5,neutral,1.0
ENSG00000111684,LPCAT3,gene-driven,1.0
ENSG00000111707,SUDS3,neutral,1.0
ENSG00000111711,GOLT1B,gene-driven,1.0
ENSG00000111726,CMAS,gene-driven,1.0
ENSG00000111729,CLEC4A,neutral,1.0
ENSG00000111732,AICDA,gene-driven,1.0
ENSG00000111775,COX6A1,neutral,1.0
ENSG00000111785,RIC8B,neutral,0.669
ENSG00000111790,FGFR1OP2,gene-driven,1.0
ENSG00000111796,KLRB1,neutral,1.0
ENSG00000111802,TDP2,neutral,1.0
ENSG00000111816,FRK,neutral,0.875
ENSG00000111834,RSPH4A,neutral,1.0
ENSG00000111845,PAK1IP1,neutral,1.0
ENSG00000111846,GCNT2,neutral,1.0
ENSG00000111875,ASF1A,neutral,1.0
ENSG00000111880,RNGTT,neutral,0.778
ENSG00000111885,MAN1A1,neutral,0.999
ENSG00000111886,GABRR2,neutral,0.673
ENSG00000111897,SERINC1,neutral,1.0
ENSG00000111906,HDDC2,gene-driven,0.991
ENSG00000111907,TPD52L1,neutral,0.983
ENSG00000111911,HINT3,neutral,1.0
ENSG00000111962,UST,neutral,0.999
ENSG00000112029,FBXO5,neutral,1.0
ENSG00000112033,PPARD,gene-driven (relaxed),0.974
ENSG00000112039,FANCE,neutral,1.0
ENSG00000112053,SLC26A8,gene-driven,1.0
ENSG00000112062,MAPK14,gene-driven,1.0
ENSG00000112077,RHAG,neutral,0.999
ENSG00000112079,STK38,neutral,0.699
ENSG00000112081,SRSF3,gene-driven,1.0
ENSG00000112110,MRPL18,neutral,1.0
ENSG00000112115,IL17A,neutral,1.0
ENSG00000112116,IL17F,gene-driven,1.0
ENSG00000112118,MCM3,gene-driven,1.0
ENSG00000112144,CILK1,neutral,0.985
ENSG00000112149,CD83,neutral,1.0
ENSG00000112164,GLP1R,neutral,0.999
ENSG00000112167,SAYSD1,neutral,1.0
ENSG00000112182,BACH2,gene-driven,1.0
ENSG00000112186,CAP2,neutral,0.983
ENSG00000112195,TREML2,neutral,1.0
ENSG00000112210,RAB23,neutral,1.0
ENSG00000112212,TSPO2,neutral,1.0
ENSG00000112214,FHL5,neutral,0.883
ENSG00000112232,KHDRBS2,neutral,1.0
ENSG00000112234,FBXL4,regulation-driven,0.507
ENSG00000112238,PRDM13,neutral,1.0
ENSG00000112242,E2F3,neutral,1.0
ENSG00000112245,PTP4A1,neutral,0.744
ENSG00000112246,SIM1,regulation-driven,0.619
ENSG00000112276,BVES,neutral,1.0
ENSG00000112290,WASF1,regulation-driven,0.805
ENSG00000112293,GPLD1,neutral,0.518
ENSG00000112294,ALDH5A1,gene-driven (relaxed),0.697
ENSG00000112299,VNN1,neutral,1.0
ENSG00000112304,ACOT13,neutral,1.0
ENSG00000112308,C6orf62,neutral,1.0
ENSG00000112319,EYA4,neutral,1.0
ENSG00000112320,SOBP,regulation-driven,1.0
ENSG00000112335,SNX3,neutral,1.0
ENSG00000112337,SLC17A2,neutral,0.995
ENSG00000112343,TRIM38,neutral,1.0
ENSG00000112365,ZBTB24,neutral,1.0
ENSG00000112378,PERP,neutral,1.0
ENSG00000112406,HECA,neutral,1.0
ENSG00000112425,EPM2A,neutral,0.917
ENSG00000112499,SLC22A2,neutral,0.995
ENSG00000112531,QKI,gene-driven,1.0
ENSG00000112539,C6orf118,neutral,1.0
ENSG00000112559,MDFI,neutral,1.0
ENSG00000112561,TFEB,gene-driven,1.0
ENSG00000112562,SMOC2,neutral,0.954
ENSG00000112584,,gene-driven (relaxed),0.678
ENSG00000112599,GUCA1B,neutral,1.0
ENSG00000112619,PRPH2,neutral,1.0
ENSG00000112624,BICRAL,neutral,0.999
ENSG00000112658,SRF,neutral,1.0
ENSG00000112659,CUL9,neutral,0.996
ENSG00000112667,DNPH1,neutral,1.0
ENSG00000112699,GMDS,neutral,0.892
ENSG00000112706,IMPG1,gene-driven,1.0
ENSG00000112739,,neutral,0.517
ENSG00000112761,CCN6,gene-driven,1.0
ENSG00000112773,TENT5A,neutral,1.0
ENSG00000112782,CLIC5,regulation-driven,1.0
ENSG00000112799,LY86,neutral,1.0
ENSG00000112812,PRSS16,neutral,1.0
ENSG00000112837,TBX18,neutral,0.944
ENSG00000112874,NUDT12,neutral,1.0
ENSG00000112893,MAN2A1,neutral,1.0
ENSG00000112941,TENT4A,gene-driven,1.0
ENSG00000112964,GHR,gene-driven,1.0
ENSG00000112981,NME5,neutral,1.0
ENSG00000112996,MRPS30,neutral,1.0
ENSG00000113068,PFDN1,neutral,1.0
ENSG00000113070,HBEGF,neutral,1.0
ENSG00000113083,LOX,neutral,1.0
ENSG00000113088,GZMK,gene-driven,1.0
ENSG00000113119,TMCO6,gene-driven,1.0
ENSG00000113141,IK,gene-driven,1.0
ENSG00000113161,HMGCR,gene-driven,1.0
ENSG00000113196,HAND1,neutral,1.0
ENSG00000113240,CLK4,gene-driven,0.999
ENSG00000113262,GRM6,neutral,0.916
ENSG00000113269,RNF130,neutral,0.988
ENSG00000113302,IL12B,gene-driven,1.0
ENSG00000113319,RASGRF2,neutral,0.98
ENSG00000113327,GABRG2,regulation-driven,0.996
ENSG00000113361,CDH6,gene-driven,1.0
ENSG00000113368,LMNB1,neutral,0.97
ENSG00000113369,ARRDC3,neutral,1.0
ENSG00000113384,GOLPH3,neutral,1.0
ENSG00000113396,SLC27A6,neutral,1.0
ENSG00000113430,IRX4,regulation-driven,0.985
ENSG00000113441,LNPEP,neutral,1.0
ENSG00000113456,RAD1,gene-driven,1.0
ENSG00000113460,BRIX1,neutral,1.0
ENSG00000113492,AGXT2,gene-driven,1.0
ENSG00000113520,IL4,gene-driven (relaxed),0.999
ENSG00000113525,IL5,gene-driven,1.0
ENSG00000113532,ST8SIA4,neutral,1.0
ENSG00000113569,NUP155,neutral,0.968
ENSG00000113583,C5orf15,neutral,1.0
ENSG00000113594,LIFR,gene-driven (relaxed),0.696
ENSG00000113595,TRIM23,gene-driven,1.0
ENSG00000113600,C9,gene-driven,0.765
ENSG00000113643,RARS1,neutral,0.994
ENSG00000113658,SMAD5,gene-driven,1.0
ENSG00000113719,ERGIC1,neutral,0.664
ENSG00000113721,PDGFRB,neutral,0.97
ENSG00000113734,BNIP1,gene-driven,0.999
ENSG00000113749,HRH2,regulation-driven,0.999
ENSG00000113790,EHHADH,neutral,1.0
ENSG00000113805,CNTN3,neutral,0.904
ENSG00000113838,TBCCD1,neutral,0.999
ENSG00000113845,TIMMDC1,neutral,1.0
ENSG00000113889,KNG1,neutral,0.973
ENSG00000113905,HRG,neutral,1.0
ENSG00000113946,CLDN16,gene-driven,0.981
ENSG00000114013,CD86,neutral,1.0
ENSG00000114021,NIT2,gene-driven,1.0
ENSG00000114030,KPNA1,neutral,0.584
ENSG00000114113,RBP2,neutral,1.0
ENSG00000114120,SLC25A36,gene-driven,0.882
ENSG00000114124,GRK7,gene-driven,1.0
ENSG00000114125,RNF7,neutral,1.0
ENSG00000114166,KAT2B,neutral,0.731
ENSG00000114200,BCHE,neutral,0.985
ENSG00000114248,LRRC31,regulation-driven,0.63
ENSG00000114251,WNT5A,neutral,0.677
ENSG00000114279,FGF12,gene-driven,0.893
ENSG00000114353,GNAI2,gene-driven,0.931
ENSG00000114383,TUSC2,neutral,1.0
ENSG00000114388,NPRL2,gene-driven,1.0
ENSG00000114395,CYB561D2,neutral,1.0
ENSG00000114416,FXR1,neutral,0.973
ENSG00000114439,,gene-driven,1.0
ENSG00000114455,HHLA2,neutral,0.851
ENSG00000114480,GBE1,neutral,0.882
ENSG00000114491,UMPS,gene-driven,1.0
ENSG00000114547,ROPN1B,neutral,0.846
ENSG00000114573,ATP6V1A,neutral,0.684
ENSG00000114631,PODXL2,neutral,1.0
ENSG00000114650,SCAP,neutral,0.912
ENSG00000114686,MRPL3,neutral,1.0
ENSG00000114735,HEMK1,neutral,1.0
ENSG00000114737,CISH,neutral,1.0
ENSG00000114739,ACVR2B,neutral,0.966
ENSG00000114744,COMMD2,neutral,1.0
ENSG00000114757,PEX5L,gene-driven,1.0
ENSG00000114767,RRP9,neutral,1.0
ENSG00000114770,,gene-driven,1.0
ENSG00000114771,AADAC,neutral,1.0
ENSG00000114779,ABHD14B,gene-driven,1.0
ENSG00000114784,EIF1B,neutral,1.0
ENSG00000114790,ARHGEF26,neutral,0.712
ENSG00000114805,,regulation-driven,0.93
ENSG00000114850,SSR3,neutral,1.0
ENSG00000114902,SPCS1,neutral,1.0
ENSG00000114933,INO80D,neutral,0.969
ENSG00000114956,DGUOK,neutral,1.0
ENSG00000114988,LMAN2L,neutral,1.0
ENSG00000114993,RTKN,neutral,0.971
ENSG00000115008,IL1A,neutral,1.0
ENSG00000115041,KCNIP3,gene-driven,1.0
ENSG00000115053,NCL,gene-driven,1.0
ENSG00000115073,ACTR1B,neutral,1.0
ENSG00000115085,ZAP70,regulation-driven,0.866
ENSG00000115107,STEAP3,neutral,0.909
ENSG00000115109,EPB41L5,neutral,0.973
ENSG00000115112,TFCP2L1,neutral,0.796
ENSG00000115128,SF3B6,neutral,1.0
ENSG00000115129,TP53I3,gene-driven,1.0
